#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.0332120e+07  6.0332120e+05
   2.000e+00    5.1493464e+07  5.1493464e+05
   4.000e+00    5.0618649e+07  5.0618649e+05
   6.000e+00    5.1758926e+07  5.1758926e+05
   8.000e+00    5.1927856e+07  5.1927856e+05
   1.000e+01    5.0491951e+07  5.0491951e+05
   1.200e+01    4.9502504e+07  4.9502504e+05
   1.400e+01    4.9182744e+07  4.9182744e+05
   1.600e+01    4.9942929e+07  4.9942929e+05
   1.800e+01    5.1228003e+07  5.1228003e+05
   2.000e+01    5.1807191e+07  5.1807191e+05
   2.400e+01    5.0769479e+07  5.0769479e+05
   2.800e+01    4.9520604e+07  4.9520604e+05
   3.200e+01    5.0148058e+07  5.0148058e+05
   3.600e+01    5.0485918e+07  5.0485918e+05
   4.000e+01    5.0823778e+07  5.0823778e+05
   4.400e+01    5.0968575e+07  5.0968575e+05
   4.800e+01    5.0950475e+07  5.0950475e+05
   5.200e+01    5.1004774e+07  5.1004774e+05
   5.600e+01    5.1047007e+07  5.1047007e+05
   5.600e+01    5.1071140e+07  5.1071140e+05
