#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.4745980e+08  6.4745980e+06
   1.000e+00    3.3836249e+08  6.4745980e+06
   2.000e+00    3.3305332e+08  6.4745980e+06
   3.000e+00    3.4386590e+08  6.4745980e+06
   4.000e+00    3.3331231e+08  6.4745980e+06
   5.000e+00    3.3033399e+08  6.4745980e+06
   6.000e+00    3.3214688e+08  6.4745980e+06
   7.000e+00    3.3700283e+08  6.4745980e+06
   8.000e+00    3.4652048e+08  6.4745980e+06
   9.000e+00    3.5662086e+08  6.4745980e+06
   1.000e+01    3.6756293e+08  6.4745980e+06
   1.200e+01    3.8659825e+08  6.4745980e+06
   1.400e+01    4.0336746e+08  6.4745980e+06
   1.600e+01    4.1618716e+08  6.4745980e+06
   1.800e+01    4.2784144e+08  6.4745980e+06
   2.000e+01    4.3599943e+08  6.4745980e+06
   2.400e+01    4.4629404e+08  6.4745980e+06
   2.800e+01    4.5581170e+08  6.4745980e+06
   3.200e+01    4.6079714e+08  6.4745980e+06
   3.600e+01    4.6358122e+08  6.4745980e+06
   4.000e+01    4.6630055e+08  6.4745980e+06
   1.000e+00    3.3842724e+08  6.4745980e+06
   4.000e+01    4.6532936e+08  6.4745980e+06
