#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.6773150e+07  1.6773150e+05
   1.000e+00    1.0607340e+07  1.0607340e+05
   2.000e+00    1.0588890e+07  1.0588890e+05
   3.000e+00    1.0614049e+07  1.0614049e+05
   4.000e+00    1.0691206e+07  1.0691206e+05
   5.000e+00    1.0704624e+07  1.0704624e+05
   6.000e+00    1.0748235e+07  1.0748235e+05
   8.000e+00    1.0768362e+07  1.0768362e+05
   1.000e+01    1.0823714e+07  1.0823714e+05
   1.200e+01    1.0845519e+07  1.0845519e+05
   1.400e+01    1.0900870e+07  1.0900870e+05
   1.600e+01    1.0858937e+07  1.0858937e+05
   1.800e+01    1.0902548e+07  1.0902548e+05
   2.000e+01    1.0900870e+07  1.0900870e+05
   2.400e+01    1.0914289e+07  1.0914289e+05
   2.800e+01    1.0899193e+07  1.0899193e+05
   3.200e+01    1.0924353e+07  1.0924353e+05
   3.600e+01    1.0951190e+07  1.0951190e+05
   4.000e+01    1.0939448e+07  1.0939448e+05
   4.400e+01    1.0947835e+07  1.0947835e+05
   4.800e+01    1.0972995e+07  1.0972995e+05
   5.200e+01    1.0956222e+07  1.0956222e+05
   5.600e+01    1.1009896e+07  1.1009896e+05
   6.000e+01    1.1033378e+07  1.1033378e+05
   1.000e+00    1.0615727e+07  1.0615727e+05
   6.000e+01    1.1009896e+07  1.1009896e+05
