#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.9160010e+07  2.9160010e+05
   1.000e+00    1.7114010e+07  1.7114010e+05
   2.000e+00    1.7341458e+07  1.7341458e+05
   3.000e+00    1.7472678e+07  1.7472678e+05
   4.000e+00    1.7735118e+07  1.7735118e+05
   5.000e+00    1.7997558e+07  1.7997558e+05
   6.000e+00    1.8268746e+07  1.8268746e+05
   8.000e+00    1.8659490e+07  1.8659490e+05
   1.000e+01    1.8956923e+07  1.8956923e+05
   1.200e+01    1.9254355e+07  1.9254355e+05
   1.400e+01    1.9373911e+07  1.9373911e+05
   1.600e+01    1.9586779e+07  1.9586779e+05
   1.800e+01    1.9706335e+07  1.9706335e+05
   2.000e+01    1.9729663e+07  1.9729663e+05
   2.400e+01    1.9852135e+07  1.9852135e+05
   2.800e+01    1.9968775e+07  1.9968775e+05
   3.200e+01    2.0047507e+07  2.0047507e+05
   3.600e+01    2.0094163e+07  2.0094163e+05
   4.000e+01    2.0117491e+07  2.0117491e+05
   4.400e+01    2.0169979e+07  2.0169979e+05
   4.800e+01    2.0193307e+07  2.0193307e+05
   5.200e+01    2.0152483e+07  2.0152483e+05
   5.600e+01    2.0219551e+07  2.0219551e+05
   6.000e+01    2.0274955e+07  2.0274955e+05
   1.000e+00    1.7099430e+07  1.7099430e+05
   6.000e+01    2.0239963e+07  2.0239963e+05
