#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.8352330e+05  9.3600000e+02
   1.000e+00    2.5776627e+05  3.2429382e+03
   1.000e+00    2.5936190e+05  3.2310015e+03
   2.000e+00    2.5974872e+05  3.2280782e+03
   3.000e+00    2.6076412e+05  3.2203496e+03
   4.000e+00    2.6400372e+05  3.1951647e+03
   5.000e+00    2.6240809e+05  3.2076692e+03
   5.000e+00    2.6269821e+05  3.2054101e+03
   6.000e+00    2.6468065e+05  3.1898015e+03
   7.000e+00    2.6492242e+05  3.1878776e+03
   8.000e+00    2.6530923e+05  3.1847903e+03
   9.000e+00    2.6700157e+05  3.1711508e+03
   1.000e+01    2.6816202e+05  3.1616739e+03
   1.000e+01    2.6719498e+05  3.1695783e+03
   1.100e+01    2.6671145e+05  3.1735043e+03
   1.200e+01    2.6854884e+05  3.1584926e+03
   1.300e+01    2.6859719e+05  3.1580942e+03
   1.400e+01    2.6816202e+05  3.1616739e+03
   1.500e+01    2.6753344e+05  3.1668197e+03
   1.500e+01    2.6864555e+05  3.1576956e+03
   1.600e+01    2.6714662e+05  3.1699717e+03
   1.700e+01    2.7038623e+05  3.1432296e+03
   1.800e+01    2.6922577e+05  3.1528986e+03
   1.900e+01    2.6893566e+05  3.1553002e+03
   2.000e+01    2.6937083e+05  3.1516954e+03
   2.000e+01    2.6801697e+05  3.1628640e+03
   2.200e+01    2.6961259e+05  3.1496867e+03
   2.400e+01    2.6990271e+05  3.1472705e+03
   2.600e+01    2.7164339e+05  3.1326424e+03
   2.800e+01    2.6917742e+05  3.1532993e+03
   3.000e+01    2.7009612e+05  3.1456562e+03
   3.000e+01    2.6961259e+05  3.1496867e+03
   3.200e+01    2.6917742e+05  3.1532993e+03
   3.400e+01    2.6932248e+05  3.1520966e+03
   3.600e+01    2.7082140e+05  3.1395780e+03
   3.800e+01    2.7193350e+05  3.1301827e+03
   4.000e+01    2.7086975e+05  3.1391714e+03
   4.000e+01    2.6990271e+05  3.1472705e+03
