#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.2228460e+06  1.0577000e+04
   1.000e+00    1.3300685e+06  2.3543127e+04
   1.000e+00    1.3484388e+06  2.3498362e+04
   2.000e+00    1.3429599e+06  2.3512240e+04
   3.000e+00    1.3258788e+06  2.3552628e+04
   4.000e+00    1.3484388e+06  2.3498362e+04
   5.000e+00    1.3477942e+06  2.3500018e+04
   5.000e+00    1.3439268e+06  2.3509823e+04
   6.000e+00    1.3568182e+06  2.3476277e+04
   7.000e+00    1.3136320e+06  2.3578880e+04
   8.000e+00    1.3384479e+06  2.3523333e+04
   9.000e+00    1.3513393e+06  2.3490835e+04
   1.000e+01    1.3742215e+06  2.3427108e+04
   1.000e+01    1.3906580e+06  2.3376622e+04
   1.100e+01    1.3726101e+06  2.3431846e+04
   1.200e+01    1.3906580e+06  2.3376622e+04
   1.300e+01    1.3613302e+06  2.3463956e+04
   1.400e+01    1.3748661e+06  2.3425202e+04
   1.500e+01    1.3619747e+06  2.3462171e+04
   1.500e+01    1.3639084e+06  2.3456781e+04
   1.600e+01    1.3819564e+06  2.3403836e+04
   1.700e+01    1.4080614e+06  2.3318932e+04
   1.800e+01    1.3771221e+06  2.3418483e+04
   1.900e+01    1.3909803e+06  2.3375593e+04
   2.000e+01    1.3942032e+06  2.3365221e+04
   2.000e+01    1.4038717e+06  2.3333215e+04
   2.200e+01    1.4116065e+06  2.3306651e+04
   2.400e+01    1.4547927e+06  2.3142883e+04
   2.600e+01    1.4699401e+06  2.3079329e+04
   2.800e+01    1.4847652e+06  2.3014104e+04
   3.000e+01    1.5173159e+06  2.2860546e+04
   3.000e+01    1.5273067e+06  2.2810599e+04
   3.200e+01    1.5485775e+06  2.2699918e+04
   3.400e+01    1.5791945e+06  2.2530365e+04
   3.600e+01    1.6043327e+06  2.2382267e+04
   3.800e+01    1.6091670e+06  2.2352880e+04
   4.000e+01    1.6268927e+06  2.2242648e+04
   4.000e+01    1.6268927e+06  2.2242648e+04
