#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.5310000e+07  1.0577000e+04
   1.000e+00    1.0533280e+07  7.8781865e+04
   1.000e+00    1.0513377e+07  7.9030687e+04
   2.000e+00    1.0580741e+07  7.8185486e+04
   3.000e+00    1.0484288e+07  7.9392995e+04
   4.000e+00    1.0625140e+07  7.7623728e+04
   5.000e+00    1.0622078e+07  7.7662589e+04
   5.000e+00    1.0609830e+07  7.7817858e+04
   6.000e+00    1.0689442e+07  7.6803573e+04
   7.000e+00    1.0625140e+07  7.7623728e+04
   8.000e+00    1.0713938e+07  7.6489096e+04
   9.000e+00    1.0617485e+07  7.7720848e+04
   1.000e+01    1.0747620e+07  7.6054861e+04
   1.000e+01    1.0759868e+07  7.5896434e+04
   1.100e+01    1.0723124e+07  7.6370878e+04
   1.200e+01    1.0779771e+07  7.5638395e+04
   1.300e+01    1.0638919e+07  7.7448634e+04
   1.400e+01    1.0775178e+07  7.5698008e+04
   1.500e+01    1.0609830e+07  7.7817858e+04
   1.500e+01    1.0597582e+07  7.7972843e+04
   1.600e+01    1.0810391e+07  7.5239977e+04
   1.700e+01    1.0730779e+07  7.6272243e+04
   1.800e+01    1.0801205e+07  7.5359685e+04
   1.900e+01    1.0698628e+07  7.6685776e+04
   2.000e+01    1.0796612e+07  7.5419480e+04
   2.000e+01    1.0813453e+07  7.5200040e+04
   2.200e+01    1.0830294e+07  7.4980075e+04
   2.400e+01    1.0828763e+07  7.5000094e+04
   2.600e+01    1.0847135e+07  7.4759587e+04
   2.800e+01    1.0839480e+07  7.4859874e+04
   3.000e+01    1.0853259e+07  7.4679280e+04
   3.000e+01    1.0847135e+07  7.4759587e+04
   3.200e+01    1.0876224e+07  7.4377512e+04
   3.400e+01    1.0853259e+07  7.4679280e+04
   3.600e+01    1.0860914e+07  7.4578798e+04
   3.800e+01    1.0879286e+07  7.4337203e+04
   4.000e+01    1.0894596e+07  7.4135399e+04
   4.000e+01    1.0902251e+07  7.4034336e+04
