#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.0528280e+06  1.0577000e+04
   1.000e+00    6.0855221e+06  3.4092410e+04
   1.000e+00    6.0895485e+06  3.4034412e+04
   2.000e+00    6.0637795e+06  3.4404678e+04
   3.000e+00    6.0355946e+06  3.4807149e+04
   4.000e+00    6.0758587e+06  3.4231388e+04
   5.000e+00    6.0790799e+06  3.4185096e+04
   5.000e+00    6.0702217e+06  3.4312317e+04
   6.000e+00    6.1000172e+06  3.3883368e+04
   7.000e+00    6.0726376e+06  3.4277646e+04
   8.000e+00    6.0863274e+06  3.4080815e+04
   9.000e+00    6.1048489e+06  3.3813534e+04
   1.000e+01    6.1314232e+06  3.3428082e+04
   1.000e+01    6.1249810e+06  3.3521737e+04
   1.100e+01    6.1032383e+06  3.3836821e+04
   1.200e+01    6.1273968e+06  3.3486632e+04
   1.300e+01    6.1120965e+06  3.3708640e+04
   1.400e+01    6.1443078e+06  3.3240367e+04
   1.500e+01    6.1290074e+06  3.3463219e+04
   1.500e+01    6.1169281e+06  3.3638615e+04
   1.600e+01    6.1282021e+06  3.3474927e+04
   1.700e+01    6.1467236e+06  3.3205110e+04
   1.800e+01    6.1386708e+06  3.3322559e+04
   1.900e+01    6.0863274e+06  3.4080815e+04
   2.000e+01    6.1161229e+06  3.3650291e+04
   2.000e+01    6.1273968e+06  3.3486632e+04
   2.200e+01    6.1145123e+06  3.3673637e+04
   2.400e+01    6.1378655e+06  3.3334292e+04
   2.600e+01    6.1137070e+06  3.3685307e+04
   2.800e+01    6.1217598e+06  3.3568514e+04
   3.000e+01    6.1201493e+06  3.3591889e+04
   3.000e+01    6.1257863e+06  3.3510038e+04
   3.200e+01    6.1096806e+06  3.3743624e+04
   3.400e+01    6.1096806e+06  3.3743624e+04
   3.600e+01    6.1145123e+06  3.3673637e+04
   3.800e+01    6.1120965e+06  3.3708640e+04
   4.000e+01    6.1169281e+06  3.3638615e+04
   4.000e+01    6.1056542e+06  3.3801888e+04
