#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.2959790e+07  1.2959790e+05
   4.000e+01    6.6587401e+06  6.6587401e+04
   1.000e+00    4.4439120e+06  4.4439120e+04
   3.600e+01    6.5952371e+06  6.5952371e+04
   2.000e+00    4.4154005e+06  4.4154005e+04
   3.200e+01    6.5926452e+06  6.5926452e+04
   3.000e+00    4.4724235e+06  4.4724235e+04
   3.000e+01    6.5952371e+06  6.5952371e+04
   4.000e+00    4.8106740e+06  4.8106740e+04
   2.800e+01    6.5693176e+06  6.5693176e+04
   5.000e+00    5.1307809e+06  5.1307809e+04
   2.600e+01    6.5887572e+06  6.5887572e+04
   6.000e+00    5.4275601e+06  5.4275601e+04
   2.400e+01    6.6315245e+06  6.6315245e+04
   7.000e+00    5.6193649e+06  5.6193649e+04
   2.200e+01    6.5965331e+06  6.5965331e+04
   8.000e+00    5.8539371e+06  5.8539371e+04
   2.000e+01    6.4643433e+06  6.4643433e+04
   9.000e+00    6.0016787e+06  6.0016787e+04
   1.800e+01    6.4760071e+06  6.4760071e+04
   1.000e+01    6.1260927e+06  6.1260927e+04
   1.600e+01    6.4630473e+06  6.4630473e+04
   1.100e+01    6.2284751e+06  6.2284751e+04
   1.400e+01    6.4254639e+06  6.4254639e+04
   1.200e+01    6.2103314e+06  6.2103314e+04
   1.000e+00    4.4465039e+06  4.4465039e+04
   4.000e+01    6.7352029e+06  6.7352029e+04
   2.000e+00    4.4102165e+06  4.4102165e+04
   3.600e+01    6.6431884e+06  6.6431884e+04
