#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.4641910e+07  2.4641910e+05
   4.000e+01    1.8284297e+06  3.0731540e+04
   1.000e+00    1.2641300e+06  3.0731540e+04
   3.600e+01    1.7397188e+06  3.0731540e+04
   2.000e+00    1.3035570e+06  3.0731540e+04
   3.200e+01    1.7347905e+06  3.0731540e+04
   3.000e+00    1.3405199e+06  3.0731540e+04
   3.000e+01    1.7249337e+06  3.0731540e+04
   4.000e+00    1.3553051e+06  3.0731540e+04
   2.800e+01    1.6978276e+06  3.0731540e+04
   5.000e+00    1.3429841e+06  3.0731540e+04
   2.600e+01    1.5746180e+06  3.0731540e+04
   6.000e+00    1.2641300e+06  3.0731540e+04
   2.400e+01    1.5844748e+06  3.0731540e+04
   7.000e+00    1.3306631e+06  3.0731540e+04
   2.200e+01    1.5425836e+06  3.0731540e+04
   8.000e+00    1.3380557e+06  3.0731540e+04
   2.000e+01    1.5179417e+06  3.0731540e+04
   9.000e+00    1.2838435e+06  3.0731540e+04
   1.800e+01    1.5376552e+06  3.0731540e+04
   1.000e+01    1.3429841e+06  3.0731540e+04
   1.600e+01    1.4735862e+06  3.0731540e+04
   1.100e+01    1.3010928e+06  3.0731540e+04
   1.400e+01    1.3922679e+06  3.0731540e+04
   1.200e+01    1.3109496e+06  3.0731540e+04
   1.000e+00    1.2863077e+06  3.0731540e+04
   4.000e+01    1.8087162e+06  3.0731540e+04
   2.000e+00    1.2863077e+06  3.0731540e+04
   3.600e+01    1.7939310e+06  3.0731540e+04
