#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0031850e+07  1.0031850e+05
   4.000e+01    5.1272785e+06  5.1272785e+04
   1.000e+00    3.9204470e+06  3.9204470e+04
   3.600e+01    5.0610683e+06  5.0610683e+04
   2.000e+00    3.8763068e+06  3.8763068e+04
   3.200e+01    4.9798103e+06  4.9798103e+04
   3.000e+00    3.9324852e+06  3.9324852e+04
   3.000e+01    4.9978677e+06  4.9978677e+04
   4.000e+00    3.8592527e+06  3.8592527e+04
   2.800e+01    4.9336638e+06  4.9336638e+04
   5.000e+00    3.8943642e+06  3.8943642e+04
   2.600e+01    4.8905269e+06  4.8905269e+04
   6.000e+00    3.9515457e+06  3.9515457e+04
   2.400e+01    4.8443804e+06  4.8443804e+04
   7.000e+00    3.9364979e+06  3.9364979e+04
   2.200e+01    4.7922147e+06  4.7922147e+04
   8.000e+00    3.8040775e+06  3.8040775e+04
   2.000e+01    4.6778517e+06  4.6778517e+04
   9.000e+00    3.9946827e+06  3.9946827e+04
   1.800e+01    4.5955905e+06  4.5955905e+04
   1.000e+01    4.0057177e+06  4.0057177e+04
   1.600e+01    4.4561478e+06  4.4561478e+04
   1.100e+01    4.0809566e+06  4.0809566e+04
   1.400e+01    4.2956382e+06  4.2956382e+04
   1.200e+01    4.1391413e+06  4.1391413e+04
   1.000e+00    3.9013865e+06  3.9013865e+04
   4.000e+01    5.1132339e+06  5.1132339e+04
   2.000e+00    3.8141094e+06  3.8141094e+04
   3.600e+01    5.0630747e+06  5.0630747e+04
