#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.5783180e+07  4.5783180e+05
   4.000e+01    6.1303678e+06  6.1303678e+04
   1.000e+00    4.3402455e+06  4.3402455e+04
   3.600e+01    6.1761510e+06  6.1761510e+04
   2.000e+00    4.3127756e+06  4.3127756e+04
   3.200e+01    6.0159099e+06  6.0159099e+04
   3.000e+00    4.3036189e+06  4.3036189e+04
   3.000e+01    6.0021749e+06  6.0021749e+04
   4.000e+00    4.3265105e+06  4.3265105e+04
   2.800e+01    6.0067532e+06  6.0067532e+04
   5.000e+00    4.2807273e+06  4.2807273e+04
   2.600e+01    5.9106085e+06  5.9106085e+04
   6.000e+00    4.2990406e+06  4.2990406e+04
   2.400e+01    5.8922953e+06  5.8922953e+04
   7.000e+00    4.4134986e+06  4.4134986e+04
   2.200e+01    5.9014519e+06  5.9014519e+04
   8.000e+00    4.5645830e+06  4.5645830e+04
   2.000e+01    5.7503674e+06  5.7503674e+04
   9.000e+00    4.7065109e+06  4.7065109e+04
   1.800e+01    5.6725360e+06  5.6725360e+04
   1.000e+01    4.9720533e+06  4.9720533e+04
   1.600e+01    5.5718130e+06  5.5718130e+04
   1.100e+01    5.0498848e+06  5.0498848e+04
   1.400e+01    5.4024152e+06  5.4024152e+04
   1.200e+01    5.2421741e+06  5.2421741e+04
   1.000e+00    4.3265105e+06  4.3265105e+04
   4.000e+01    6.1166328e+06  6.1166328e+04
   2.000e+00    4.3356671e+06  4.3356671e+04
   3.600e+01    6.1166328e+06  6.1166328e+04
