#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.1699150e+07  7.5667269e+04
   3.600e+01    7.1610497e+06  7.5667269e+04
   1.000e+00    6.1163156e+06  7.5667269e+04
   3.000e+01    7.2218853e+06  7.5667269e+04
   2.000e+00    6.3163711e+06  7.5667269e+04
   2.600e+01    7.1961472e+06  7.5667269e+04
   3.000e+00    6.6650058e+06  7.5667269e+04
   2.400e+01    7.4032221e+06  7.5667269e+04
   4.000e+00    6.9399358e+06  7.5667269e+04
   2.200e+01    7.3037793e+06  7.5667269e+04
   6.000e+00    7.0896849e+06  7.5667269e+04
   2.000e+01    7.3061192e+06  7.5667269e+04
   8.000e+00    7.1353116e+06  7.5667269e+04
   1.800e+01    7.3400467e+06  7.5667269e+04
   1.000e+01    7.2499633e+06  7.5667269e+04
   1.600e+01    7.2055065e+06  7.5667269e+04
   1.200e+01    7.2031667e+06  7.5667269e+04
   1.400e+01    7.3412166e+06  7.5667269e+04
   1.000e+00    6.1560927e+06  7.5667269e+04
   3.000e+01    7.2616624e+06  7.5667269e+04
