#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.3269990e+05  3.5195860e+02
   1.000e+00    6.2119410e+05  3.5195860e+02
   6.000e+01    7.5692420e+05  3.5195860e+02
   2.000e+00    6.3085340e+05  3.5195860e+02
   5.000e+01    7.5617480e+05  3.5195860e+02
   3.000e+00    6.4084580e+05  3.5195860e+02
   4.000e+01    7.5226110e+05  3.5195860e+02
   4.000e+00    6.4825690e+05  3.5195860e+02
   3.000e+01    7.4684850e+05  3.5195860e+02
   8.000e+00    6.8248080e+05  3.5195860e+02
   2.600e+01    7.4118620e+05  3.5195860e+02
   1.000e+01    6.9663670e+05  3.5195860e+02
   2.200e+01    7.3635650e+05  3.5195860e+02
   1.400e+01    7.1362380e+05  3.5195860e+02
   1.800e+01    7.2728010e+05  3.5195860e+02
   2.000e+00    6.3151960e+05  3.5195860e+02
   4.000e+01    7.5242760e+05  3.5195860e+02
