#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.2296080e+06  4.0079450e+02
   1.000e+00    1.1308700e+06  4.0079450e+02
   6.000e+01    1.1544790e+06  4.0079450e+02
   2.000e+00    1.1339440e+06  4.0079450e+02
   5.000e+01    1.1562000e+06  4.0079450e+02
   3.000e+00    1.1368960e+06  4.0079450e+02
   4.000e+01    1.1543560e+06  4.0079450e+02
   4.000e+00    1.1377560e+06  4.0079450e+02
   3.000e+01    1.1558320e+06  4.0079450e+02
   8.000e+00    1.1450110e+06  4.0079450e+02
   2.600e+01    1.1549710e+06  4.0079450e+02
   1.000e+01    1.1472240e+06  4.0079450e+02
   2.200e+01    1.1528800e+06  4.0079450e+02
   1.400e+01    1.1473470e+06  4.0079450e+02
   1.800e+01    1.1518970e+06  4.0079450e+02
   2.000e+00    1.1334530e+06  4.0079450e+02
   4.000e+01    1.1542330e+06  4.0079450e+02
