#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.9250920e+07  1.6410910e+04
   1.000e+00    3.1372840e+07  1.6410910e+04
   6.000e+01    4.5956030e+07  1.6410910e+04
   2.000e+00    3.1683120e+07  1.6410910e+04
   5.000e+01    4.5635900e+07  1.6410910e+04
   3.000e+00    3.2269200e+07  1.6410910e+04
   4.000e+01    4.5305920e+07  1.6410910e+04
   4.000e+00    3.2845440e+07  1.6410910e+04
   3.000e+01    4.4384930e+07  1.6410910e+04
   8.000e+00    3.6056600e+07  1.6410910e+04
   2.600e+01    4.3872720e+07  1.6410910e+04
   1.000e+01    3.7342050e+07  1.6410910e+04
   2.200e+01    4.3025600e+07  1.6410910e+04
   1.400e+01    4.0031150e+07  1.6410910e+04
   1.800e+01    4.1818960e+07  1.6410910e+04
   2.000e+00    3.1752070e+07  1.6410910e+04
   4.000e+01    4.5182790e+07  1.6410910e+04
