#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.5572430e+06  1.1941080e+04
   4.000e+01    6.2716034e+06  1.1941080e+04
   1.000e+00    4.5883937e+06  1.1941080e+04
   3.600e+01    6.2716034e+06  1.1941080e+04
   2.000e+00    4.6388814e+06  1.1941080e+04
   3.200e+01    6.2510660e+06  1.1941080e+04
   3.000e+00    4.6243341e+06  1.1941080e+04
   3.000e+01    6.2587675e+06  1.1941080e+04
   4.000e+00    4.6097868e+06  1.1941080e+04
   2.800e+01    6.2279615e+06  1.1941080e+04
   5.000e+00    4.7004936e+06  1.1941080e+04
   2.600e+01    6.2005783e+06  1.1941080e+04
   6.000e+00    4.7723744e+06  1.1941080e+04
   2.400e+01    6.1697722e+06  1.1941080e+04
   7.000e+00    4.9272605e+06  1.1941080e+04
   2.200e+01    6.1843195e+06  1.1941080e+04
   8.000e+00    5.0761565e+06  1.1941080e+04
   2.000e+01    6.1132944e+06  1.1941080e+04
   9.000e+00    5.2858090e+06  1.1941080e+04
   1.800e+01    5.9986273e+06  1.1941080e+04
   1.000e+01    5.3893516e+06  1.1941080e+04
   1.600e+01    5.9464282e+06  1.1941080e+04
   1.100e+01    5.6041384e+06  1.1941080e+04
   1.400e+01    5.8214924e+06  1.1941080e+04
   1.200e+01    5.6529147e+06  1.1941080e+04
   1.000e+00    4.5592991e+06  1.1941080e+04
   4.000e+01    6.2587675e+06  1.1941080e+04
   2.000e+00    4.7013493e+06  1.1941080e+04
   3.600e+01    6.2536332e+06  1.1941080e+04
