#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0042880e+07  1.1947710e+04
   4.000e+01    7.3092081e+06  1.1947710e+04
   1.000e+00    5.4261681e+06  1.1947710e+04
   3.600e+01    7.2891223e+06  1.1947710e+04
   2.000e+00    5.5155497e+06  1.1947710e+04
   3.200e+01    7.3051909e+06  1.1947710e+04
   3.000e+00    5.4934554e+06  1.1947710e+04
   3.000e+01    7.3051909e+06  1.1947710e+04
   4.000e+00    5.5958927e+06  1.1947710e+04
   2.800e+01    7.2650194e+06  1.1947710e+04
   5.000e+00    5.7425188e+06  1.1947710e+04
   2.600e+01    7.2519636e+06  1.1947710e+04
   6.000e+00    6.0287409e+06  1.1947710e+04
   2.400e+01    7.2178179e+06  1.1947710e+04
   7.000e+00    6.2255813e+06  1.1947710e+04
   2.200e+01    7.1957235e+06  1.1947710e+04
   8.000e+00    6.4023360e+06  1.1947710e+04
   2.000e+01    7.1997407e+06  1.1947710e+04
   9.000e+00    6.5328934e+06  1.1947710e+04
   1.800e+01    7.1555520e+06  1.1947710e+04
   1.000e+01    6.6283008e+06  1.1947710e+04
   1.600e+01    7.0822390e+06  1.1947710e+04
   1.100e+01    6.7337510e+06  1.1947710e+04
   1.400e+01    7.0239903e+06  1.1947710e+04
   1.200e+01    6.8663171e+06  1.1947710e+04
   1.000e+00    5.3859965e+06  1.1947710e+04
   4.000e+01    7.2911309e+06  1.1947710e+04
   2.000e+00    5.5155497e+06  1.1947710e+04
   3.600e+01    7.2981609e+06  1.1947710e+04
