#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.0821710e+06  1.1962560e+04
   4.000e+01    6.1076966e+06  1.1962560e+04
   1.000e+00    4.3377012e+06  1.1962560e+04
   3.600e+01    6.1376007e+06  1.1962560e+04
   2.000e+00    4.8889052e+06  1.1962560e+04
   3.200e+01    6.1513403e+06  1.1962560e+04
   3.000e+00    5.4077806e+06  1.1962560e+04
   3.000e+01    6.1691211e+06  1.1962560e+04
   4.000e+00    5.6987388e+06  1.1962560e+04
   2.800e+01    6.1279021e+06  1.1962560e+04
   5.000e+00    5.8450261e+06  1.1962560e+04
   2.600e+01    6.2184224e+06  1.1962560e+04
   6.000e+00    5.9290806e+06  1.1962560e+04
   2.400e+01    6.1763951e+06  1.1962560e+04
   7.000e+00    6.0317242e+06  1.1962560e+04
   2.200e+01    6.1804362e+06  1.1962560e+04
   8.000e+00    6.0753679e+06  1.1962560e+04
   2.000e+01    6.1731622e+06  1.1962560e+04
   9.000e+00    6.0988062e+06  1.1962560e+04
   1.800e+01    6.1586143e+06  1.1962560e+04
   1.000e+01    6.1093131e+06  1.1962560e+04
   1.600e+01    6.1877101e+06  1.1962560e+04
   1.100e+01    6.1093131e+06  1.1962560e+04
   1.400e+01    6.1529568e+06  1.1962560e+04
   1.200e+01    6.1869019e+06  1.1962560e+04
   1.000e+00    4.3837696e+06  1.1962560e+04
   4.000e+01    6.1400253e+06  1.1962560e+04
   2.000e+00    4.9236586e+06  1.1962560e+04
   3.600e+01    6.1561897e+06  1.1962560e+04
