#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0182330e+07  1.2016420e+04
   4.000e+01    7.6774768e+06  1.2016420e+04
   1.000e+00    5.9362984e+06  1.2016420e+04
   3.600e+01    7.6347110e+06  1.2016420e+04
   2.000e+00    6.6684079e+06  1.2016420e+04
   3.200e+01    7.5960182e+06  1.2016420e+04
   3.000e+00    7.1785426e+06  1.2016420e+04
   3.000e+01    7.7100603e+06  1.2016420e+04
   4.000e+00    7.3821892e+06  1.2016420e+04
   2.800e+01    7.7406073e+06  1.2016420e+04
   5.000e+00    7.5206689e+06  1.2016420e+04
   2.600e+01    7.6520210e+06  1.2016420e+04
   6.000e+00    7.5817629e+06  1.2016420e+04
   2.400e+01    7.6591486e+06  1.2016420e+04
   7.000e+00    7.7141332e+06  1.2016420e+04
   2.200e+01    7.7232973e+06  1.2016420e+04
   8.000e+00    7.6296199e+06  1.2016420e+04
   2.000e+01    7.7742090e+06  1.2016420e+04
   9.000e+00    7.6408204e+06  1.2016420e+04
   1.800e+01    7.7334796e+06  1.2016420e+04
   1.000e+01    7.7141332e+06  1.2016420e+04
   1.600e+01    7.7630084e+06  1.2016420e+04
   1.100e+01    7.7110785e+06  1.2016420e+04
   1.400e+01    7.7151514e+06  1.2016420e+04
   1.200e+01    7.7680996e+06  1.2016420e+04
   1.000e+00    5.9159337e+06  1.2016420e+04
   4.000e+01    7.6469298e+06  1.2016420e+04
   2.000e+00    6.5737122e+06  1.2016420e+04
   3.600e+01    7.7110785e+06  1.2016420e+04
