#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    7.6525240e+06  1.2035580e+04
   4.000e+01    5.3177389e+06  1.2035580e+04
   1.000e+00    4.3956098e+06  1.2035580e+04
   3.600e+01    5.2840678e+06  1.2035580e+04
   2.000e+00    4.4155063e+06  1.2035580e+04
   3.200e+01    5.2312654e+06  1.2035580e+04
   3.000e+00    4.4178021e+06  1.2035580e+04
   3.000e+01    5.2075426e+06  1.2035580e+04
   4.000e+00    4.4958579e+06  1.2035580e+04
   2.800e+01    5.1700452e+06  1.2035580e+04
   5.000e+00    4.5279985e+06  1.2035580e+04
   2.600e+01    5.1042335e+06  1.2035580e+04
   6.000e+00    4.4989189e+06  1.2035580e+04
   2.400e+01    5.0338303e+06  1.2035580e+04
   7.000e+00    4.4820833e+06  1.2035580e+04
   2.200e+01    4.9358780e+06  1.2035580e+04
   8.000e+00    4.4537690e+06  1.2035580e+04
   2.000e+01    4.8930238e+06  1.2035580e+04
   9.000e+00    4.4683088e+06  1.2035580e+04
   1.800e+01    4.8233859e+06  1.2035580e+04
   1.000e+01    4.4262199e+06  1.2035580e+04
   1.600e+01    4.6688049e+06  1.2035580e+04
   1.100e+01    4.4476469e+06  1.2035580e+04
   1.400e+01    4.5632001e+06  1.2035580e+04
   1.200e+01    4.5157544e+06  1.2035580e+04
   1.000e+00    4.4208631e+06  1.2035580e+04
   4.000e+01    5.3154432e+06  1.2035580e+04
   2.000e+00    4.3917835e+06  1.2035580e+04
   3.600e+01    5.2794763e+06  1.2035580e+04
