#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    7.0822060e+06  1.1964790e+04
   4.000e+01    4.7592424e+06  1.1964790e+04
   1.000e+00    3.9589532e+06  1.1964790e+04
   3.600e+01    4.5850202e+06  1.1964790e+04
   2.000e+00    3.9313326e+06  1.1964790e+04
   3.200e+01    4.4405432e+06  1.1964790e+04
   3.000e+00    3.9837409e+06  1.1964790e+04
   3.000e+01    4.3690129e+06  1.1964790e+04
   4.000e+00    4.0049875e+06  1.1964790e+04
   2.800e+01    4.3116470e+06  1.1964790e+04
   5.000e+00    3.9858655e+06  1.1964790e+04
   2.600e+01    4.2004564e+06  1.1964790e+04
   6.000e+00    4.0708520e+06  1.1964790e+04
   2.400e+01    4.1062630e+06  1.1964790e+04
   7.000e+00    4.0715602e+06  1.1964790e+04
   2.200e+01    4.0566876e+06  1.1964790e+04
   8.000e+00    4.0743931e+06  1.1964790e+04
   2.000e+01    4.0113615e+06  1.1964790e+04
   9.000e+00    4.0496054e+06  1.1964790e+04
   1.800e+01    3.9738258e+06  1.1964790e+04
   1.000e+01    3.9971971e+06  1.1964790e+04
   1.600e+01    3.9886984e+06  1.1964790e+04
   1.100e+01    4.0361492e+06  1.1964790e+04
   1.400e+01    4.0149026e+06  1.1964790e+04
   1.200e+01    4.0170272e+06  1.1964790e+04
   1.000e+00    3.9369983e+06  1.1964790e+04
   4.000e+01    4.7110834e+06  1.1964790e+04
   2.000e+00    3.9646189e+06  1.1964790e+04
   3.600e+01    4.6423860e+06  1.1964790e+04
