#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.4420740e+07  1.3405410e+04
   4.000e+01    9.7166946e+06  1.3405410e+04
   1.000e+00    9.3532920e+06  1.3405410e+04
   3.600e+01    9.7282312e+06  1.3405410e+04
   2.000e+00    9.3979963e+06  1.3405410e+04
   3.200e+01    9.8306185e+06  1.3405410e+04
   3.000e+00    9.4773103e+06  1.3405410e+04
   3.000e+01    9.7484202e+06  1.3405410e+04
   4.000e+00    9.4008804e+06  1.3405410e+04
   2.800e+01    9.7945666e+06  1.3405410e+04
   5.000e+00    9.4859628e+06  1.3405410e+04
   2.600e+01    9.8219660e+06  1.3405410e+04
   6.000e+00    9.6590117e+06  1.3405410e+04
   2.400e+01    9.6734324e+06  1.3405410e+04
   7.000e+00    9.5436457e+06  1.3405410e+04
   2.200e+01    9.6878531e+06  1.3405410e+04
   8.000e+00    9.5364354e+06  1.3405410e+04
   2.000e+01    9.6546854e+06  1.3405410e+04
   9.000e+00    9.5710451e+06  1.3405410e+04
   1.800e+01    9.6590117e+06  1.3405410e+04
   1.000e+01    9.4571213e+06  1.3405410e+04
   1.600e+01    9.6200757e+06  1.3405410e+04
   1.100e+01    9.5551823e+06  1.3405410e+04
   1.400e+01    9.5998866e+06  1.3405410e+04
   1.200e+01    9.6171915e+06  1.3405410e+04
   1.000e+00    9.3388712e+06  1.3405410e+04
   4.000e+01    9.6936214e+06  1.3405410e+04
   2.000e+00    9.3720389e+06  1.3405410e+04
   3.600e+01    9.7166946e+06  1.3405410e+04
