#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.9669400e+07  1.3482510e+04
   4.000e+01    1.3528613e+07  1.3482510e+04
   1.000e+00    1.0316600e+07  1.3482510e+04
   3.600e+01    1.3623026e+07  1.3482510e+04
   2.000e+00    1.0259559e+07  1.3482510e+04
   3.200e+01    1.3542382e+07  1.3482510e+04
   3.000e+00    1.0483790e+07  1.3482510e+04
   3.000e+01    1.3615159e+07  1.3482510e+04
   4.000e+00    1.1066004e+07  1.3482510e+04
   2.800e+01    1.3516812e+07  1.3482510e+04
   5.000e+00    1.1640351e+07  1.3482510e+04
   2.600e+01    1.3538448e+07  1.3482510e+04
   6.000e+00    1.2000301e+07  1.3482510e+04
   2.400e+01    1.3514845e+07  1.3482510e+04
   7.000e+00    1.2450730e+07  1.3482510e+04
   2.200e+01    1.3540415e+07  1.3482510e+04
   8.000e+00    1.2631689e+07  1.3482510e+04
   2.000e+01    1.3432233e+07  1.3482510e+04
   9.000e+00    1.2830350e+07  1.3482510e+04
   1.800e+01    1.3343721e+07  1.3482510e+04
   1.000e+01    1.2910994e+07  1.3482510e+04
   1.600e+01    1.3355523e+07  1.3482510e+04
   1.100e+01    1.3040812e+07  1.3482510e+04
   1.400e+01    1.3263076e+07  1.3482510e+04
   1.200e+01    1.3125391e+07  1.3482510e+04
   1.000e+00    1.0405113e+07  1.3482510e+04
   4.000e+01    1.3538448e+07  1.3482510e+04
   2.000e+00    1.0247757e+07  1.3482510e+04
   3.600e+01    1.3565985e+07  1.3482510e+04
