#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0928960e+07  1.3503920e+04
   4.000e+01    5.7737696e+06  1.3503920e+04
   1.000e+00    4.2568299e+06  1.3503920e+04
   3.600e+01    5.6863379e+06  1.3503920e+04
   2.000e+00    4.4295075e+06  1.3503920e+04
   3.200e+01    5.6786876e+06  1.3503920e+04
   3.000e+00    4.3344255e+06  1.3503920e+04
   3.000e+01    5.6163925e+06  1.3503920e+04
   4.000e+00    4.3923490e+06  1.3503920e+04
   2.800e+01    5.5551904e+06  1.3503920e+04
   5.000e+00    4.3967206e+06  1.3503920e+04
   2.600e+01    5.4513652e+06  1.3503920e+04
   6.000e+00    4.3519119e+06  1.3503920e+04
   2.400e+01    5.4076494e+06  1.3503920e+04
   7.000e+00    4.3814201e+06  1.3503920e+04
   2.200e+01    5.3540975e+06  1.3503920e+04
   8.000e+00    4.2994529e+06  1.3503920e+04
   2.000e+01    5.2262287e+06  1.3503920e+04
   9.000e+00    4.3256824e+06  1.3503920e+04
   1.800e+01    5.0644801e+06  1.3503920e+04
   1.000e+01    4.4240430e+06  1.3503920e+04
   1.600e+01    4.9672123e+06  1.3503920e+04
   1.100e+01    4.4251359e+06  1.3503920e+04
   1.400e+01    4.6972670e+06  1.3503920e+04
   1.200e+01    4.4633873e+06  1.3503920e+04
   1.000e+00    4.3617479e+06  1.3503920e+04
   4.000e+01    5.7836056e+06  1.3503920e+04
   2.000e+00    4.3071031e+06  1.3503920e+04
   3.600e+01    5.7114745e+06  1.3503920e+04
