#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0945550e+07  1.3392620e+04
   4.000e+01    5.9839322e+06  1.3392620e+04
   1.000e+00    5.2462021e+06  1.3392620e+04
   3.600e+01    5.7628321e+06  1.3392620e+04
   2.000e+00    5.2538640e+06  1.3392620e+04
   3.200e+01    5.6369582e+06  1.3392620e+04
   3.000e+00    5.4060071e+06  1.3392620e+04
   3.000e+01    5.6041216e+06  1.3392620e+04
   4.000e+00    5.3458066e+06  1.3392620e+04
   2.800e+01    5.4979498e+06  1.3392620e+04
   5.000e+00    5.3009299e+06  1.3392620e+04
   2.600e+01    5.4038180e+06  1.3392620e+04
   6.000e+00    5.3578467e+06  1.3392620e+04
   2.400e+01    5.4038180e+06  1.3392620e+04
   7.000e+00    5.3447121e+06  1.3392620e+04
   2.200e+01    5.4180472e+06  1.3392620e+04
   8.000e+00    5.3414284e+06  1.3392620e+04
   2.000e+01    5.4038180e+06  1.3392620e+04
   9.000e+00    5.4049126e+06  1.3392620e+04
   1.800e+01    5.3863052e+06  1.3392620e+04
   1.000e+01    5.4705859e+06  1.3392620e+04
   1.600e+01    5.3994398e+06  1.3392620e+04
   1.100e+01    5.4859097e+06  1.3392620e+04
   1.400e+01    5.3655086e+06  1.3392620e+04
   1.200e+01    5.4257091e+06  1.3392620e+04
   1.000e+00    5.3151591e+06  1.3392620e+04
   4.000e+01    5.9510955e+06  1.3392620e+04
   2.000e+00    5.3250101e+06  1.3392620e+04
   3.600e+01    5.7912905e+06  1.3392620e+04
