#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.2687760e+07  1.3480600e+04
   4.000e+01    7.9222373e+06  1.3480600e+04
   1.000e+00    6.1802079e+06  1.3480600e+04
   3.600e+01    7.8803677e+06  1.3480600e+04
   2.000e+00    6.0774370e+06  1.3480600e+04
   3.200e+01    7.8892492e+06  1.3480600e+04
   3.000e+00    6.2728285e+06  1.3480600e+04
   3.000e+01    7.8790990e+06  1.3480600e+04
   4.000e+00    6.4441133e+06  1.3480600e+04
   2.800e+01    7.8448420e+06  1.3480600e+04
   5.000e+00    6.9034102e+06  1.3480600e+04
   2.600e+01    7.8499171e+06  1.3480600e+04
   6.000e+00    7.0797701e+06  1.3480600e+04
   2.400e+01    7.8321542e+06  1.3480600e+04
   7.000e+00    7.1381338e+06  1.3480600e+04
   2.200e+01    7.8867116e+06  1.3480600e+04
   8.000e+00    7.3550945e+06  1.3480600e+04
   2.000e+01    7.8664112e+06  1.3480600e+04
   9.000e+00    7.3741261e+06  1.3480600e+04
   1.800e+01    7.7598340e+06  1.3480600e+04
   1.000e+01    7.4933911e+06  1.3480600e+04
   1.600e+01    7.7281146e+06  1.3480600e+04
   1.100e+01    7.5974307e+06  1.3480600e+04
   1.400e+01    7.7484150e+06  1.3480600e+04
   1.200e+01    7.6596007e+06  1.3480600e+04
   1.000e+00    6.1725952e+06  1.3480600e+04
   4.000e+01    7.9882137e+06  1.3480600e+04
   2.000e+00    6.1078877e+06  1.3480600e+04
   3.600e+01    7.9615694e+06  1.3480600e+04
