#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.2113480e+07  1.3469610e+04
   4.000e+01    7.4946101e+06  1.3469610e+04
   1.000e+00    5.8689811e+06  1.3469610e+04
   3.600e+01    7.3565164e+06  1.3469610e+04
   2.000e+00    5.9295485e+06  1.3469610e+04
   3.200e+01    7.2341703e+06  1.3469610e+04
   3.000e+00    5.9598322e+06  1.3469610e+04
   3.000e+01    7.2305362e+06  1.3469610e+04
   4.000e+00    5.9985953e+06  1.3469610e+04
   2.800e+01    7.0391432e+06  1.3469610e+04
   5.000e+00    5.9780024e+06  1.3469610e+04
   2.600e+01    6.9676737e+06  1.3469610e+04
   6.000e+00    5.9513527e+06  1.3469610e+04
   2.400e+01    6.9155857e+06  1.3469610e+04
   7.000e+00    5.9622549e+06  1.3469610e+04
   2.200e+01    6.7980850e+06  1.3469610e+04
   8.000e+00    5.8847286e+06  1.3469610e+04
   2.000e+01    6.7084452e+06  1.3469610e+04
   9.000e+00    5.9343939e+06  1.3469610e+04
   1.800e+01    6.5255317e+06  1.3469610e+04
   1.000e+01    5.9053215e+06  1.3469610e+04
   1.600e+01    6.3619997e+06  1.3469610e+04
   1.100e+01    5.9646776e+06  1.3469610e+04
   1.400e+01    6.1088280e+06  1.3469610e+04
   1.200e+01    6.0385698e+06  1.3469610e+04
   1.000e+00    5.8944194e+06  1.3469610e+04
   4.000e+01    7.5491207e+06  1.3469610e+04
   2.000e+00    5.9440846e+06  1.3469610e+04
   3.600e+01    7.4606923e+06  1.3469610e+04
