#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0367250e+07  1.3399200e+04
   4.000e+01    6.5013025e+06  1.3399200e+04
   1.000e+00    4.8757177e+06  1.3399200e+04
   3.600e+01    6.4100707e+06  1.3399200e+04
   2.000e+00    5.3495010e+06  1.3399200e+04
   3.200e+01    6.5417348e+06  1.3399200e+04
   3.000e+00    5.7310158e+06  1.3399200e+04
   3.000e+01    6.4546499e+06  1.3399200e+04
   4.000e+00    5.9964174e+06  1.3399200e+04
   2.800e+01    6.3831158e+06  1.3399200e+04
   5.000e+00    6.1353385e+06  1.3399200e+04
   2.600e+01    6.4183645e+06  1.3399200e+04
   6.000e+00    6.2566354e+06  1.3399200e+04
   2.400e+01    6.4059238e+06  1.3399200e+04
   7.000e+00    6.1519262e+06  1.3399200e+04
   2.200e+01    6.3571977e+06  1.3399200e+04
   8.000e+00    6.1239346e+06  1.3399200e+04
   2.000e+01    6.3737853e+06  1.3399200e+04
   9.000e+00    6.2286438e+06  1.3399200e+04
   1.800e+01    6.3292061e+06  1.3399200e+04
   1.000e+01    6.0710616e+06  1.3399200e+04
   1.600e+01    6.3831158e+06  1.3399200e+04
   1.100e+01    6.2721862e+06  1.3399200e+04
   1.400e+01    6.3364632e+06  1.3399200e+04
   1.200e+01    6.2898106e+06  1.3399200e+04
   1.000e+00    4.7730819e+06  1.3399200e+04
   4.000e+01    6.3997034e+06  1.3399200e+04
   2.000e+00    5.3484643e+06  1.3399200e+04
   3.600e+01    6.4194012e+06  1.3399200e+04
