#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0749710e+07  1.3497380e+04
   4.000e+01    6.3455538e+06  1.3497380e+04
   1.000e+00    4.8868182e+06  1.3497380e+04
   3.600e+01    6.3165296e+06  1.3497380e+04
   2.000e+00    4.8717686e+06  1.3497380e+04
   3.200e+01    6.2617061e+06  1.3497380e+04
   3.000e+00    4.9212172e+06  1.3497380e+04
   3.000e+01    6.3444788e+06  1.3497380e+04
   4.000e+00    4.9126175e+06  1.3497380e+04
   2.800e+01    6.2993301e+06  1.3497380e+04
   5.000e+00    4.9953902e+06  1.3497380e+04
   2.600e+01    6.2004327e+06  1.3497380e+04
   6.000e+00    5.1974848e+06  1.3497380e+04
   2.400e+01    6.2251571e+06  1.3497380e+04
   7.000e+00    5.2802576e+06  1.3497380e+04
   2.200e+01    6.2584812e+06  1.3497380e+04
   8.000e+00    5.3920545e+06  1.3497380e+04
   2.000e+01    6.2337568e+06  1.3497380e+04
   9.000e+00    5.5070764e+06  1.3497380e+04
   1.800e+01    6.1219598e+06  1.3497380e+04
   1.000e+01    5.6693971e+06  1.3497380e+04
   1.600e+01    6.1359345e+06  1.3497380e+04
   1.100e+01    5.7876439e+06  1.3497380e+04
   1.400e+01    6.0531617e+06  1.3497380e+04
   1.200e+01    5.8467673e+06  1.3497380e+04
   1.000e+00    4.9244422e+06  1.3497380e+04
   4.000e+01    6.3778029e+06  1.3497380e+04
   2.000e+00    4.9115425e+06  1.3497380e+04
   3.600e+01    6.4057522e+06  1.3497380e+04
