#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.9202100e+06  1.3484430e+04
   4.000e+01    5.7934026e+06  1.3484430e+04
   1.000e+00    4.4700466e+06  1.3484430e+04
   3.600e+01    5.7497537e+06  1.3484430e+04
   2.000e+00    4.9928417e+06  1.3484430e+04
   3.200e+01    5.8142351e+06  1.3484430e+04
   3.000e+00    5.3767538e+06  1.3484430e+04
   3.000e+01    5.8926047e+06  1.3484430e+04
   4.000e+00    5.5444054e+06  1.3484430e+04
   2.800e+01    5.8489558e+06  1.3484430e+04
   5.000e+00    5.5850782e+06  1.3484430e+04
   2.600e+01    5.6813043e+06  1.3484430e+04
   6.000e+00    5.6088867e+06  1.3484430e+04
   2.400e+01    5.8003468e+06  1.3484430e+04
   7.000e+00    5.6436075e+06  1.3484430e+04
   2.200e+01    5.8687962e+06  1.3484430e+04
   8.000e+00    5.6822963e+06  1.3484430e+04
   2.000e+01    5.7507457e+06  1.3484430e+04
   9.000e+00    5.6694000e+06  1.3484430e+04
   1.800e+01    5.8043149e+06  1.3484430e+04
   1.000e+01    5.7874505e+06  1.3484430e+04
   1.600e+01    5.7914186e+06  1.3484430e+04
   1.100e+01    5.7080888e+06  1.3484430e+04
   1.400e+01    5.7170170e+06  1.3484430e+04
   1.200e+01    5.7150330e+06  1.3484430e+04
   1.000e+00    4.5603205e+06  1.3484430e+04
   4.000e+01    5.8430037e+06  1.3484430e+04
   2.000e+00    4.9313364e+06  1.3484430e+04
   3.600e+01    5.7824904e+06  1.3484430e+04
