#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.3916410e+07  1.3389880e+04
   4.000e+01    9.3894018e+06  1.3389880e+04
   1.000e+00    7.8752964e+06  1.3389880e+04
   3.600e+01    9.2794622e+06  1.3389880e+04
   2.000e+00    7.9253955e+06  1.3389880e+04
   3.200e+01    9.1208151e+06  1.3389880e+04
   3.000e+00    7.9699280e+06  1.3389880e+04
   3.000e+01    8.9065024e+06  1.3389880e+04
   4.000e+00    7.8850379e+06  1.3389880e+04
   2.800e+01    8.7798631e+06  1.3389880e+04
   5.000e+00    7.9866277e+06  1.3389880e+04
   2.600e+01    8.8271789e+06  1.3389880e+04
   6.000e+00    8.0158522e+06  1.3389880e+04
   2.400e+01    8.6573987e+06  1.3389880e+04
   7.000e+00    7.9365286e+06  1.3389880e+04
   2.200e+01    8.4917934e+06  1.3389880e+04
   8.000e+00    8.0617763e+06  1.3389880e+04
   2.000e+01    8.3373212e+06  1.3389880e+04
   9.000e+00    7.9434868e+06  1.3389880e+04
   1.800e+01    8.2566061e+06  1.3389880e+04
   1.000e+01    7.9824528e+06  1.3389880e+04
   1.600e+01    8.1007423e+06  1.3389880e+04
   1.100e+01    7.8836463e+06  1.3389880e+04
   1.400e+01    8.0798676e+06  1.3389880e+04
   1.200e+01    7.9852361e+06  1.3389880e+04
   1.000e+00    7.9295704e+06  1.3389880e+04
   4.000e+01    9.4214096e+06  1.3389880e+04
   2.000e+00    7.9601865e+06  1.3389880e+04
   3.600e+01    9.1597811e+06  1.3389880e+04
