#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.9424790e+07  1.3482510e+04
   4.000e+01    1.4009159e+07  1.3482510e+04
   1.000e+00    1.0765219e+07  1.3482510e+04
   3.600e+01    1.3923689e+07  1.3482510e+04
   2.000e+00    1.0736081e+07  1.3482510e+04
   3.200e+01    1.3946999e+07  1.3482510e+04
   3.000e+00    1.0807953e+07  1.3482510e+04
   3.000e+01    1.3898437e+07  1.3482510e+04
   4.000e+00    1.1390697e+07  1.3482510e+04
   2.800e+01    1.3863473e+07  1.3482510e+04
   5.000e+00    1.1796675e+07  1.3482510e+04
   2.600e+01    1.3956712e+07  1.3482510e+04
   6.000e+00    1.2295892e+07  1.3482510e+04
   2.400e+01    1.3972251e+07  1.3482510e+04
   7.000e+00    1.2746547e+07  1.3482510e+04
   2.200e+01    1.4055778e+07  1.3482510e+04
   8.000e+00    1.2962162e+07  1.3482510e+04
   2.000e+01    1.3925632e+07  1.3482510e+04
   9.000e+00    1.3224397e+07  1.3482510e+04
   1.800e+01    1.3744981e+07  1.3482510e+04
   1.000e+01    1.3356486e+07  1.3482510e+04
   1.600e+01    1.3830450e+07  1.3482510e+04
   1.100e+01    1.3438070e+07  1.3482510e+04
   1.400e+01    1.3673110e+07  1.3482510e+04
   1.200e+01    1.3583756e+07  1.3482510e+04
   1.000e+00    1.0790471e+07  1.3482510e+04
   4.000e+01    1.3867358e+07  1.3482510e+04
   2.000e+00    1.0642842e+07  1.3482510e+04
   3.600e+01    1.4040238e+07  1.3482510e+04
