#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.1945860e+07  1.3585020e+04
   4.000e+01    8.0658447e+06  1.3585020e+04
   1.000e+00    6.4208998e+06  1.3585020e+04
   3.600e+01    8.1638007e+06  1.3585020e+04
   2.000e+00    6.5511096e+06  1.3585020e+04
   3.200e+01    8.2247246e+06  1.3585020e+04
   3.000e+00    6.4340402e+06  1.3585020e+04
   3.000e+01    8.1876924e+06  1.3585020e+04
   4.000e+00    6.4364294e+06  1.3585020e+04
   2.800e+01    8.0813743e+06  1.3585020e+04
   5.000e+00    6.5176612e+06  1.3585020e+04
   2.600e+01    8.0634555e+06  1.3585020e+04
   6.000e+00    6.6789303e+06  1.3585020e+04
   2.400e+01    8.0992931e+06  1.3585020e+04
   7.000e+00    6.9477122e+06  1.3585020e+04
   2.200e+01    8.0957093e+06  1.3585020e+04
   8.000e+00    7.1161488e+06  1.3585020e+04
   2.000e+01    7.9487752e+06  1.3585020e+04
   9.000e+00    7.3419256e+06  1.3585020e+04
   1.800e+01    7.9451915e+06  1.3585020e+04
   1.000e+01    7.5521727e+06  1.3585020e+04
   1.600e+01    8.0550934e+06  1.3585020e+04
   1.100e+01    7.5235026e+06  1.3585020e+04
   1.400e+01    7.7170256e+06  1.3585020e+04
   1.200e+01    7.6190695e+06  1.3585020e+04
   1.000e+00    6.5092991e+06  1.3585020e+04
   4.000e+01    8.1124335e+06  1.3585020e+04
   2.000e+00    6.5272179e+06  1.3585020e+04
   3.600e+01    8.1303523e+06  1.3585020e+04
