#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.1891000e+07  1.3445250e+04
   4.000e+01    8.1096620e+06  1.3445250e+04
   1.000e+00    6.6637164e+06  1.3445250e+04
   3.600e+01    7.9681591e+06  1.3445250e+04
   2.000e+00    6.6565818e+06  1.3445250e+04
   3.200e+01    7.9348643e+06  1.3445250e+04
   3.000e+00    6.6565818e+06  1.3445250e+04
   3.000e+01    7.9527008e+06  1.3445250e+04
   4.000e+00    6.6898766e+06  1.3445250e+04
   2.800e+01    7.8088197e+06  1.3445250e+04
   5.000e+00    6.6363671e+06  1.3445250e+04
   2.600e+01    7.8932458e+06  1.3445250e+04
   6.000e+00    6.6090178e+06  1.3445250e+04
   2.400e+01    7.8849221e+06  1.3445250e+04
   7.000e+00    6.6185306e+06  1.3445250e+04
   2.200e+01    7.7267718e+06  1.3445250e+04
   8.000e+00    6.6637164e+06  1.3445250e+04
   2.000e+01    7.6328329e+06  1.3445250e+04
   9.000e+00    6.7850046e+06  1.3445250e+04
   1.800e+01    7.4592243e+06  1.3445250e+04
   1.000e+01    6.7445752e+06  1.3445250e+04
   1.600e+01    7.3545835e+06  1.3445250e+04
   1.100e+01    7.0109336e+06  1.3445250e+04
   1.400e+01    7.2511318e+06  1.3445250e+04
   1.200e+01    7.0525521e+06  1.3445250e+04
   1.000e+00    6.6173415e+06  1.3445250e+04
   4.000e+01    7.8932458e+06  1.3445250e+04
   2.000e+00    6.5911813e+06  1.3445250e+04
   3.600e+01    8.1703061e+06  1.3445250e+04
