#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.3246700e+07  1.3474770e+04
   4.000e+01    8.4103298e+06  1.3474770e+04
   1.000e+00    7.3943079e+06  1.3474770e+04
   3.600e+01    8.1573179e+06  1.3474770e+04
   2.000e+00    7.3969573e+06  1.3474770e+04
   3.200e+01    8.0553183e+06  1.3474770e+04
   3.000e+00    7.4287494e+06  1.3474770e+04
   3.000e+01    8.0288249e+06  1.3474770e+04
   4.000e+00    7.4698141e+06  1.3474770e+04
   2.800e+01    7.9625914e+06  1.3474770e+04
   5.000e+00    7.3969573e+06  1.3474770e+04
   2.600e+01    7.8619165e+06  1.3474770e+04
   6.000e+00    7.4923335e+06  1.3474770e+04
   2.400e+01    7.8698645e+06  1.3474770e+04
   7.000e+00    7.4208013e+06  1.3474770e+04
   2.200e+01    7.6698393e+06  1.3474770e+04
   8.000e+00    7.4870348e+06  1.3474770e+04
   2.000e+01    7.5757877e+06  1.3474770e+04
   9.000e+00    7.5280996e+06  1.3474770e+04
   1.800e+01    7.4234507e+06  1.3474770e+04
   1.000e+01    7.4751128e+06  1.3474770e+04
   1.600e+01    7.3704639e+06  1.3474770e+04
   1.100e+01    7.5214763e+06  1.3474770e+04
   1.400e+01    7.5386970e+06  1.3474770e+04
   1.200e+01    7.4870348e+06  1.3474770e+04
   1.000e+00    7.3598665e+06  1.3474770e+04
   4.000e+01    8.2712395e+06  1.3474770e+04
   2.000e+00    7.3850352e+06  1.3474770e+04
   3.600e+01    8.4487453e+06  1.3474770e+04
