#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.6527500e+06  1.3484430e+04
   4.000e+01    5.8679067e+06  1.3484430e+04
   1.000e+00    4.2317656e+06  1.3484430e+04
   3.600e+01    5.7578654e+06  1.3484430e+04
   2.000e+00    4.5396883e+06  1.3484430e+04
   3.200e+01    5.9480245e+06  1.3484430e+04
   3.000e+00    4.5773340e+06  1.3484430e+04
   3.000e+01    5.8428096e+06  1.3484430e+04
   4.000e+00    4.5705771e+06  1.3484430e+04
   2.800e+01    5.7124975e+06  1.3484430e+04
   5.000e+00    4.5068690e+06  1.3484430e+04
   2.600e+01    5.8090250e+06  1.3484430e+04
   6.000e+00    4.6246325e+06  1.3484430e+04
   2.400e+01    5.6285185e+06  1.3484430e+04
   7.000e+00    4.6767574e+06  1.3484430e+04
   2.200e+01    5.7240808e+06  1.3484430e+04
   8.000e+00    4.6391117e+06  1.3484430e+04
   2.000e+01    5.4798662e+06  1.3484430e+04
   9.000e+00    4.7703890e+06  1.3484430e+04
   1.800e+01    5.3794776e+06  1.3484430e+04
   1.000e+01    4.7568752e+06  1.3484430e+04
   1.600e+01    5.3090125e+06  1.3484430e+04
   1.100e+01    4.8910484e+06  1.3484430e+04
   1.400e+01    5.1429852e+06  1.3484430e+04
   1.200e+01    4.9142150e+06  1.3484430e+04
   1.000e+00    4.2858210e+06  1.3484430e+04
   4.000e+01    5.8727331e+06  1.3484430e+04
   2.000e+00    4.4431608e+06  1.3484430e+04
   3.600e+01    5.7848931e+06  1.3484430e+04
