# Name:     D9N-HN
# y_ppm:  117.74398    0.00002
# yw_hz:   15.69139    0.03691
# y_eta:    0.00000    0.00000
# x_ppm:    8.35127    0.00002
# xw_hz:   20.56360    0.04714
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.652346e+07    7.550000e+04
      -375.0    9.740881e+06    7.550000e+04
      -325.0    1.642291e+07    7.550000e+04
      -275.0    1.748818e+07    7.550000e+04
      -225.0    1.747124e+07    7.550000e+04
      -175.0    1.585763e+07    7.550000e+04
      -125.0    7.076603e+06    7.550000e+04
       -75.0    2.153047e+06    7.550000e+04
       -25.0    1.354930e+07    7.550000e+04
        25.0    1.644391e+07    7.550000e+04
        75.0    1.724457e+07    7.550000e+04
       125.0    1.733781e+07    7.550000e+04
       175.0    1.724081e+07    7.550000e+04
       225.0    1.657448e+07    7.550000e+04
       275.0    1.354311e+07    7.550000e+04
       325.0    9.853902e+06    7.550000e+04
