# Name:    R13N-HN
# y_ppm:  122.46050    0.00003
# yw_hz:   16.17770    0.05494
# y_eta:    0.00000    0.00000
# x_ppm:   10.11697    0.00004
# xw_hz:   31.14969    0.11124
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    9.028695e+06    7.550000e+04
      -375.0    3.668199e+06    7.550000e+04
      -325.0    6.991093e+04    7.550000e+04
      -275.0    3.353994e+06    7.550000e+04
      -225.0    5.585910e+06    7.550000e+04
      -175.0    6.002539e+06    7.550000e+04
      -125.0    6.136933e+06    7.550000e+04
       -75.0    6.232560e+06    7.550000e+04
       -25.0    6.111677e+06    7.550000e+04
        25.0    6.135602e+06    7.550000e+04
        75.0    6.069573e+06    7.550000e+04
       125.0    5.814881e+06    7.550000e+04
       175.0    4.075516e+06    7.550000e+04
       225.0    3.519662e+06    7.550000e+04
       275.0    4.546111e+06    7.550000e+04
       325.0    3.644899e+06    7.550000e+04
