# Name:    S19N-HN
# y_ppm:  116.09926    0.00003
# yw_hz:   15.56331    0.05732
# y_eta:    0.00000    0.00000
# x_ppm:    8.18578    0.00003
# xw_hz:   21.39143    0.07970
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    3.369886e+07    7.550000e+04
      -375.0    2.130992e+07    7.550000e+04
      -325.0    9.715937e+06    7.550000e+04
      -275.0    2.172101e+06    7.550000e+04
      -225.0    1.290573e+07    7.550000e+04
      -175.0    2.149266e+07    7.550000e+04
      -125.0    2.312792e+07    7.550000e+04
       -75.0    2.358177e+07    7.550000e+04
       -25.0    2.387293e+07    7.550000e+04
        25.0    2.385208e+07    7.550000e+04
        75.0    2.411341e+07    7.550000e+04
       125.0    2.379748e+07    7.550000e+04
       175.0    2.378387e+07    7.550000e+04
       225.0    2.361697e+07    7.550000e+04
       275.0    2.324706e+07    7.550000e+04
       325.0    2.119169e+07    7.550000e+04
