# Name:    A39N-HN
# y_ppm:  132.08489    0.00002
# yw_hz:   16.14762    0.03828
# y_eta:    0.00000    0.00000
# x_ppm:    9.27792    0.00002
# xw_hz:   23.31420    0.05632
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0   -1.710484e+07    7.550000e+04
      -400.0   -1.060344e+07    7.550000e+04
      -350.0   -9.468783e+06    7.550000e+04
      -300.0   -5.865761e+06    7.550000e+04
      -250.0    2.174443e+05    7.550000e+04
      -200.0   -5.032308e+06    7.550000e+04
      -150.0   -9.550119e+06    7.550000e+04
      -100.0   -1.078751e+07    7.550000e+04
       -50.0   -1.125217e+07    7.550000e+04
         0.0   -1.137119e+07    7.550000e+04
        50.0   -1.148148e+07    7.550000e+04
       100.0   -1.162063e+07    7.550000e+04
       150.0   -1.162222e+07    7.550000e+04
       200.0   -1.157439e+07    7.550000e+04
       250.0   -1.150994e+07    7.550000e+04
       300.0   -1.129535e+07    7.550000e+04
       350.0   -1.112961e+07    7.550000e+04
       400.0   -1.075524e+07    7.550000e+04
