# Name:     E5N-HN
# y_ppm:  119.03897    0.00003
# yw_hz:   16.35896    0.07169
# y_eta:    0.00000    0.00000
# x_ppm:    9.62060    0.00005
# xw_hz:   24.66554    0.10844
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.662063e+07    7.550000e+04
      -400.0    9.480810e+06    7.550000e+04
      -350.0    1.107115e+07    7.550000e+04
      -300.0    1.128944e+07    7.550000e+04
      -250.0    1.140937e+07    7.550000e+04
      -200.0    1.136622e+07    7.550000e+04
      -150.0    1.116149e+07    7.550000e+04
      -100.0    1.087743e+07    7.550000e+04
       -50.0    9.883316e+06    7.550000e+04
         0.0    5.487772e+06    7.550000e+04
        50.0    6.507717e+04    7.550000e+04
       100.0    7.678558e+06    7.550000e+04
       150.0    9.747173e+06    7.550000e+04
       200.0    1.024725e+07    7.550000e+04
       250.0    1.006450e+07    7.550000e+04
       300.0    9.114048e+06    7.550000e+04
       350.0    5.278081e+06    7.550000e+04
       400.0    9.508438e+06    7.550000e+04
