# Name:    F26N-HN
# y_ppm:  116.56618    0.00002
# yw_hz:   16.64174    0.03387
# y_eta:    0.00000    0.00000
# x_ppm:    9.20418    0.00002
# xw_hz:   24.34554    0.05024
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.621522e+07    7.550000e+04
      -400.0    1.102488e+07    7.550000e+04
      -350.0    1.082943e+07    7.550000e+04
      -300.0    9.897590e+06    7.550000e+04
      -250.0    5.396649e+06    7.550000e+04
      -200.0    1.277787e+05    7.550000e+04
      -150.0    7.814251e+06    7.550000e+04
      -100.0    9.739682e+06    7.550000e+04
       -50.0    1.040907e+07    7.550000e+04
         0.0    1.054581e+07    7.550000e+04
        50.0    1.053538e+07    7.550000e+04
       100.0    1.005370e+07    7.550000e+04
       150.0    7.907004e+06    7.550000e+04
       200.0    6.297690e+06    7.550000e+04
       250.0    1.032513e+07    7.550000e+04
       300.0    1.098776e+07    7.550000e+04
       350.0    1.116367e+07    7.550000e+04
       400.0    1.105579e+07    7.550000e+04
