# Name:    H21N-HN
# y_ppm:  117.45573    0.00002
# yw_hz:   16.15279    0.03989
# y_eta:    0.00000    0.00000
# x_ppm:    8.85458    0.00003
# xw_hz:   26.16044    0.06535
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.558619e+07    7.550000e+04
      -400.0    1.033540e+07    7.550000e+04
      -350.0    1.020886e+07    7.550000e+04
      -300.0    1.014964e+07    7.550000e+04
      -250.0    9.895443e+06    7.550000e+04
      -200.0    8.771147e+06    7.550000e+04
      -150.0    3.239483e+06    7.550000e+04
      -100.0    1.729864e+06    7.550000e+04
       -50.0    7.542496e+06    7.550000e+04
         0.0    8.916961e+06    7.550000e+04
        50.0    9.000255e+06    7.550000e+04
       100.0    8.620696e+06    7.550000e+04
       150.0    5.890943e+06    7.550000e+04
       200.0    7.498200e+06    7.550000e+04
       250.0    9.802702e+06    7.550000e+04
       300.0    1.016406e+07    7.550000e+04
       350.0    1.032828e+07    7.550000e+04
       400.0    1.033846e+07    7.550000e+04
