# Name:    K22N-HN
# y_ppm:  121.89204    0.00001
# yw_hz:   15.43201    0.02827
# y_eta:    0.00000    0.00000
# x_ppm:    9.26258    0.00001
# xw_hz:   19.24240    0.03482
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.325319e+07    7.550000e+04
      -400.0    1.273060e+07    7.550000e+04
      -350.0    1.523135e+07    7.550000e+04
      -300.0    1.589251e+07    7.550000e+04
      -250.0    1.606755e+07    7.550000e+04
      -200.0    1.631178e+07    7.550000e+04
      -150.0    1.609337e+07    7.550000e+04
      -100.0    1.622347e+07    7.550000e+04
       -50.0    1.620213e+07    7.550000e+04
         0.0    1.622301e+07    7.550000e+04
        50.0    1.614856e+07    7.550000e+04
       100.0    1.600315e+07    7.550000e+04
       150.0    1.597647e+07    7.550000e+04
       200.0    1.561120e+07    7.550000e+04
       250.0    1.421911e+07    7.550000e+04
       300.0    6.416028e+06    7.550000e+04
       350.0    2.462286e+06    7.550000e+04
       400.0    1.281445e+07    7.550000e+04
