# Name:     L3N-HN
# y_ppm:  125.19575    0.00002
# yw_hz:   15.59443    0.03663
# y_eta:    0.00000    0.00000
# x_ppm:    8.29978    0.00002
# xw_hz:   20.18490    0.04635
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    3.242697e+07    7.550000e+04
      -400.0    2.249887e+07    7.550000e+04
      -350.0    2.261716e+07    7.550000e+04
      -300.0    2.214813e+07    7.550000e+04
      -250.0    1.957974e+07    7.550000e+04
      -200.0    7.871600e+06    7.550000e+04
      -150.0    3.455844e+05    7.550000e+04
      -100.0    1.197070e+07    7.550000e+04
       -50.0    1.992428e+07    7.550000e+04
         0.0    2.151312e+07    7.550000e+04
        50.0    2.207381e+07    7.550000e+04
       100.0    2.236977e+07    7.550000e+04
       150.0    2.251196e+07    7.550000e+04
       200.0    2.251792e+07    7.550000e+04
       250.0    2.271527e+07    7.550000e+04
       300.0    2.266857e+07    7.550000e+04
       350.0    2.264020e+07    7.550000e+04
       400.0    2.270762e+07    7.550000e+04
