# Name:    T43N-HN
# y_ppm:  116.37755    0.00003
# yw_hz:   16.30628    0.05410
# y_eta:    0.00000    0.00000
# x_ppm:    8.46548    0.00003
# xw_hz:   23.76943    0.08010
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.881745e+07    7.550000e+04
      -400.0    1.017228e+07    7.550000e+04
      -350.0    1.031441e+07    7.550000e+04
      -300.0    8.758216e+06    7.550000e+04
      -250.0    9.526130e+05    7.550000e+04
      -200.0    4.934889e+06    7.550000e+04
      -150.0    1.098983e+07    7.550000e+04
      -100.0    1.208379e+07    7.550000e+04
       -50.0    1.241622e+07    7.550000e+04
         0.0    1.266351e+07    7.550000e+04
        50.0    1.271171e+07    7.550000e+04
       100.0    1.248897e+07    7.550000e+04
       150.0    1.255860e+07    7.550000e+04
       200.0    1.240402e+07    7.550000e+04
       250.0    1.205466e+07    7.550000e+04
       300.0    8.983596e+06    7.550000e+04
       350.0    7.247390e+06    7.550000e+04
       400.0    1.017194e+07    7.550000e+04
