#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04   -2.7764230e+07  7.5500000e+04
  -3.750e+02   -1.8611450e+07  7.5500000e+04
  -3.250e+02   -1.8689210e+07  7.5500000e+04
  -2.750e+02   -1.8777050e+07  7.5500000e+04
  -2.250e+02   -1.8630980e+07  7.5500000e+04
  -1.750e+02   -1.8310500e+07  7.5500000e+04
  -1.250e+02   -1.6064050e+07  7.5500000e+04
  -7.500e+01   -8.5174270e+06  7.5500000e+04
  -2.500e+01   -1.3171920e+07  7.5500000e+04
   2.500e+01   -1.2964260e+07  7.5500000e+04
   7.500e+01   -5.1112430e+06  7.5500000e+04
   1.250e+02   -2.9766820e+06  7.5500000e+04
   1.750e+02   -1.5412080e+07  7.5500000e+04
   2.250e+02   -1.7858660e+07  7.5500000e+04
   2.750e+02   -1.8280790e+07  7.5500000e+04
   3.250e+02   -1.8689960e+07  7.5500000e+04
