#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04    2.6736750e+07  7.5500000e+04
  -3.750e+02    1.5334160e+07  7.5500000e+04
  -3.250e+02    1.7260520e+07  7.5500000e+04
  -2.750e+02    1.7850370e+07  7.5500000e+04
  -2.250e+02    1.8040550e+07  7.5500000e+04
  -1.750e+02    1.8116880e+07  7.5500000e+04
  -1.250e+02    1.8169090e+07  7.5500000e+04
  -7.500e+01    1.8224790e+07  7.5500000e+04
  -2.500e+01    1.8065440e+07  7.5500000e+04
   2.500e+01    1.8152180e+07  7.5500000e+04
   7.500e+01    1.7849070e+07  7.5500000e+04
   1.250e+02    1.7245650e+07  7.5500000e+04
   1.750e+02    1.4195760e+07  7.5500000e+04
   2.250e+02    3.1592790e+06  7.5500000e+04
   2.750e+02    3.7896080e+06  7.5500000e+04
   3.250e+02    1.5509580e+07  7.5500000e+04
