# Name:    G34N-HN
# y_ppm:  108.53302    0.00002
# yw_hz:   14.81448    0.04615
# y_eta:    0.00000    0.00000
# x_ppm:    8.36061    0.00003
# xw_hz:   20.50390    0.06257
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0   -2.794165e+07    7.550000e+04
      -375.0   -1.455294e+07    7.550000e+04
      -325.0   -3.029501e+06    7.550000e+04
      -275.0   -7.547936e+06    7.550000e+04
      -225.0   -1.724589e+07    7.550000e+04
      -175.0   -1.869968e+07    7.550000e+04
      -125.0   -1.918797e+07    7.550000e+04
       -75.0   -1.937363e+07    7.550000e+04
       -25.0   -1.932522e+07    7.550000e+04
        25.0   -1.930050e+07    7.550000e+04
        75.0   -1.939124e+07    7.550000e+04
       125.0   -1.935999e+07    7.550000e+04
       175.0   -1.926007e+07    7.550000e+04
       225.0   -1.902368e+07    7.550000e+04
       275.0   -1.835251e+07    7.550000e+04
       325.0   -1.444188e+07    7.550000e+04
