# Name:    K22N-HN
# y_ppm:  121.89138    0.00002
# yw_hz:   15.38085    0.05031
# y_eta:    0.00000    0.00000
# x_ppm:    9.26326    0.00003
# xw_hz:   19.32762    0.06279
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.404501e+07    7.550000e+04
      -375.0    2.411193e+06    7.550000e+04
      -325.0    7.779200e+06    7.550000e+04
      -275.0    1.513433e+07    7.550000e+04
      -225.0    1.614462e+07    7.550000e+04
      -175.0    1.649517e+07    7.550000e+04
      -125.0    1.665881e+07    7.550000e+04
       -75.0    1.664915e+07    7.550000e+04
       -25.0    1.665121e+07    7.550000e+04
        25.0    1.663925e+07    7.550000e+04
        75.0    1.668796e+07    7.550000e+04
       125.0    1.663009e+07    7.550000e+04
       175.0    1.633060e+07    7.550000e+04
       225.0    1.569539e+07    7.550000e+04
       275.0    1.247462e+07    7.550000e+04
       325.0    2.481217e+06    7.550000e+04
