#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04    2.5336730e+07  7.5500000e+04
  -3.750e+02    1.7873880e+07  7.5500000e+04
  -3.250e+02    1.8046350e+07  7.5500000e+04
  -2.750e+02    1.7970960e+07  7.5500000e+04
  -2.250e+02    1.8152170e+07  7.5500000e+04
  -1.750e+02    1.7921490e+07  7.5500000e+04
  -1.250e+02    1.7961860e+07  7.5500000e+04
  -7.500e+01    1.7783830e+07  7.5500000e+04
  -2.500e+01    1.7529110e+07  7.5500000e+04
   2.500e+01    1.6282930e+07  7.5500000e+04
   7.500e+01    8.4447380e+06  7.5500000e+04
   1.250e+02    2.5369540e+05  7.5500000e+04
   1.750e+02    1.4397030e+07  7.5500000e+04
   2.250e+02    1.6940170e+07  7.5500000e+04
   2.750e+02    1.7662560e+07  7.5500000e+04
   3.250e+02    1.7925550e+07  7.5500000e+04
