#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04    3.3698860e+07  7.5500000e+04
  -3.750e+02    2.1309920e+07  7.5500000e+04
  -3.250e+02    9.7159370e+06  7.5500000e+04
  -2.750e+02    2.1721010e+06  7.5500000e+04
  -2.250e+02    1.2905730e+07  7.5500000e+04
  -1.750e+02    2.1492660e+07  7.5500000e+04
  -1.250e+02    2.3127920e+07  7.5500000e+04
  -7.500e+01    2.3581770e+07  7.5500000e+04
  -2.500e+01    2.3872930e+07  7.5500000e+04
   2.500e+01    2.3852080e+07  7.5500000e+04
   7.500e+01    2.4113410e+07  7.5500000e+04
   1.250e+02    2.3797480e+07  7.5500000e+04
   1.750e+02    2.3783870e+07  7.5500000e+04
   2.250e+02    2.3616970e+07  7.5500000e+04
   2.750e+02    2.3247060e+07  7.5500000e+04
   3.250e+02    2.1191690e+07  7.5500000e+04
