# Name:  W101NE-HE
# y_ppm:  114.17997    0.00003
# yw_hz:   14.88622    0.06644
# y_eta:    0.00000    0.00000
# x_ppm:    9.59548    0.00003
# xw_hz:   18.17657    0.08168
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0   -2.340025e+07    7.550000e+04
      -375.0   -6.626171e+06    7.550000e+04
      -325.0   -1.027298e+07    7.550000e+04
      -275.0   -8.405344e+06    7.550000e+04
      -225.0   -1.618695e+07    7.550000e+04
      -175.0   -1.755588e+07    7.550000e+04
      -125.0   -1.776435e+07    7.550000e+04
       -75.0   -1.786134e+07    7.550000e+04
       -25.0   -1.787247e+07    7.550000e+04
        25.0   -1.767393e+07    7.550000e+04
        75.0   -1.759781e+07    7.550000e+04
       125.0   -1.723571e+07    7.550000e+04
       175.0   -1.664383e+07    7.550000e+04
       225.0   -1.400178e+07    7.550000e+04
       275.0   -1.679293e+05    7.550000e+04
       325.0   -6.604064e+06    7.550000e+04
