# Name:    A12N-HN
# y_ppm:  126.60236    0.00002
# yw_hz:   15.69642    0.04662
# y_eta:    0.00000    0.00000
# x_ppm:    8.20781    0.00002
# xw_hz:   19.68020    0.05830
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0   -2.678265e+07    7.550000e+04
      -400.0   -1.816726e+07    7.550000e+04
      -350.0   -1.801301e+07    7.550000e+04
      -300.0   -1.788247e+07    7.550000e+04
      -250.0   -1.710722e+07    7.550000e+04
      -200.0   -1.144547e+07    7.550000e+04
      -150.0   -1.072648e+07    7.550000e+04
      -100.0   -1.318104e+07    7.550000e+04
       -50.0   -1.018870e+07    7.550000e+04
         0.0   -1.733840e+06    7.550000e+04
        50.0   -1.118841e+07    7.550000e+04
       100.0   -1.640914e+07    7.550000e+04
       150.0   -1.755160e+07    7.550000e+04
       200.0   -1.776383e+07    7.550000e+04
       250.0   -1.805618e+07    7.550000e+04
       300.0   -1.806814e+07    7.550000e+04
       350.0   -1.798212e+07    7.550000e+04
       400.0   -1.810301e+07    7.550000e+04
