#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04    2.2405070e+07  7.5500000e+04
  -4.000e+02    1.5582450e+07  7.5500000e+04
  -3.500e+02    1.5682990e+07  7.5500000e+04
  -3.000e+02    1.5758360e+07  7.5500000e+04
  -2.500e+02    1.5686030e+07  7.5500000e+04
  -2.000e+02    1.5657990e+07  7.5500000e+04
  -1.500e+02    1.5611540e+07  7.5500000e+04
  -1.000e+02    1.5331300e+07  7.5500000e+04
  -5.000e+01    1.4897110e+07  7.5500000e+04
   0.000e+00    1.3470220e+07  7.5500000e+04
   5.000e+01    5.2921970e+06  7.5500000e+04
   1.000e+02    2.1503360e+06  7.5500000e+04
   1.500e+02    7.8266670e+06  7.5500000e+04
   2.000e+02    7.1380550e+06  7.5500000e+04
   2.500e+02    1.4091160e+07  7.5500000e+04
   3.000e+02    1.5306420e+07  7.5500000e+04
   3.500e+02    1.5558100e+07  7.5500000e+04
   4.000e+02    1.5659220e+07  7.5500000e+04
