# Name:    E33N-HN
# y_ppm:  121.53486    0.00002
# yw_hz:   15.88511    0.03429
# y_eta:    0.00000    0.00000
# x_ppm:    8.58809    0.00002
# xw_hz:   21.50219    0.04593
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.958548e+07    7.550000e+04
      -400.0    1.159979e+07    7.550000e+04
      -350.0    1.258048e+07    7.550000e+04
      -300.0    1.287700e+07    7.550000e+04
      -250.0    1.298896e+07    7.550000e+04
      -200.0    1.313825e+07    7.550000e+04
      -150.0    1.311282e+07    7.550000e+04
      -100.0    1.310182e+07    7.550000e+04
       -50.0    1.309696e+07    7.550000e+04
         0.0    1.308264e+07    7.550000e+04
        50.0    1.312807e+07    7.550000e+04
       100.0    1.301514e+07    7.550000e+04
       150.0    1.270039e+07    7.550000e+04
       200.0    1.191248e+07    7.550000e+04
       250.0    8.359439e+06    7.550000e+04
       300.0    2.037968e+05    7.550000e+04
       350.0    5.045986e+06    7.550000e+04
       400.0    1.158798e+07    7.550000e+04
