#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04   -1.7857900e+07  7.5500000e+04
  -4.000e+02   -6.1248720e+06  7.5500000e+04
  -3.500e+02   -9.2153380e+06  7.5500000e+04
  -3.000e+02   -1.1009330e+07  7.5500000e+04
  -2.500e+02   -1.1558720e+07  7.5500000e+04
  -2.000e+02   -1.1769460e+07  7.5500000e+04
  -1.500e+02   -1.1493420e+07  7.5500000e+04
  -1.000e+02   -1.1189400e+07  7.5500000e+04
  -5.000e+01   -9.9341950e+06  7.5500000e+04
   0.000e+00   -5.4472180e+06  7.5500000e+04
   5.000e+01   -2.7713000e+05  7.5500000e+04
   1.000e+02   -9.1349810e+06  7.5500000e+04
   1.500e+02   -1.1423090e+07  7.5500000e+04
   2.000e+02   -1.1983070e+07  7.5500000e+04
   2.500e+02   -1.2193740e+07  7.5500000e+04
   3.000e+02   -1.1847980e+07  7.5500000e+04
   3.500e+02   -1.0626440e+07  7.5500000e+04
   4.000e+02   -6.1710240e+06  7.5500000e+04
