# Name:    I50N-HN
# y_ppm:  113.33461    0.00001
# yw_hz:   17.02597    0.02669
# y_eta:    0.00000    0.00000
# x_ppm:    9.14785    0.00002
# xw_hz:   23.52312    0.03751
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.310677e+07    7.550000e+04
      -400.0    8.170906e+06    7.550000e+04
      -350.0    8.492382e+06    7.550000e+04
      -300.0    8.722992e+06    7.550000e+04
      -250.0    8.681378e+06    7.550000e+04
      -200.0    8.715974e+06    7.550000e+04
      -150.0    8.517738e+06    7.550000e+04
      -100.0    7.963937e+06    7.550000e+04
       -50.0    5.822041e+06    7.550000e+04
         0.0    5.640363e+06    7.550000e+04
        50.0    8.011548e+06    7.550000e+04
       100.0    8.337085e+06    7.550000e+04
       150.0    7.923535e+06    7.550000e+04
       200.0    6.124780e+06    7.550000e+04
       250.0    4.756341e+04    7.550000e+04
       300.0    3.599627e+06    7.550000e+04
       350.0    7.290697e+06    7.550000e+04
       400.0    8.202446e+06    7.550000e+04
