#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04   -1.7444200e+07  7.5500000e+04
  -4.000e+02   -5.1055490e+06  7.5500000e+04
  -3.500e+02   -9.1650470e+04  7.5500000e+04
  -3.000e+02   -6.8202860e+06  7.5500000e+04
  -2.500e+02   -5.3560920e+06  7.5500000e+04
  -2.000e+02   -8.7002460e+06  7.5500000e+04
  -1.500e+02   -1.0432790e+07  7.5500000e+04
  -1.000e+02   -1.0956800e+07  7.5500000e+04
  -5.000e+01   -1.1052160e+07  7.5500000e+04
   0.000e+00   -1.1345320e+07  7.5500000e+04
   5.000e+01   -1.1253110e+07  7.5500000e+04
   1.000e+02   -1.1341620e+07  7.5500000e+04
   1.500e+02   -1.1366630e+07  7.5500000e+04
   2.000e+02   -1.1216990e+07  7.5500000e+04
   2.500e+02   -1.1025930e+07  7.5500000e+04
   3.000e+02   -1.0688310e+07  7.5500000e+04
   3.500e+02   -9.4952010e+06  7.5500000e+04
   4.000e+02   -5.1994230e+06  7.5500000e+04
