# Name:    N53N-HN
# y_ppm:  115.13951    0.00003
# yw_hz:   17.65128    0.07095
# y_eta:    0.00000    0.00000
# x_ppm:    8.07119    0.00007
# xw_hz:   40.00091    0.20229
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    3.963707e+06    7.550000e+04
      -400.0    1.267551e+06    7.550000e+04
      -350.0    2.363868e+05    7.550000e+04
      -300.0    1.607288e+06    7.550000e+04
      -250.0    2.239198e+06    7.550000e+04
      -200.0    2.374245e+06    7.550000e+04
      -150.0    2.411893e+06    7.550000e+04
      -100.0    2.468235e+06    7.550000e+04
       -50.0    2.510007e+06    7.550000e+04
         0.0    2.357153e+06    7.550000e+04
        50.0    2.199651e+06    7.550000e+04
       100.0    1.585793e+06    7.550000e+04
       150.0    1.870886e+06    7.550000e+04
       200.0    2.410084e+06    7.550000e+04
       250.0    2.460774e+06    7.550000e+04
       300.0    2.488689e+06    7.550000e+04
       350.0    2.200915e+06    7.550000e+04
       400.0    1.210138e+06    7.550000e+04
