#Offset (Hz)        Intensity    Uncertainty
  -2.000e+04    1.3696630e+07  7.5500000e+04
  -4.000e+02    4.7591090e+06  7.5500000e+04
  -3.500e+02    4.5172080e+06  7.5500000e+04
  -3.000e+02    6.5683540e+06  7.5500000e+04
  -2.500e+02    8.8716870e+06  7.5500000e+04
  -2.000e+02    9.2850540e+06  7.5500000e+04
  -1.500e+02    9.4297500e+06  7.5500000e+04
  -1.000e+02    9.4381200e+06  7.5500000e+04
  -5.000e+01    9.4187120e+06  7.5500000e+04
   0.000e+00    9.5766090e+06  7.5500000e+04
   5.000e+01    9.6020950e+06  7.5500000e+04
   1.000e+02    9.4411860e+06  7.5500000e+04
   1.500e+02    9.3266550e+06  7.5500000e+04
   2.000e+02    9.1877270e+06  7.5500000e+04
   2.500e+02    8.4203570e+06  7.5500000e+04
   3.000e+02    4.8507330e+06  7.5500000e+04
   3.500e+02   -1.3861490e+05  7.5500000e+04
   4.000e+02    4.7801140e+06  7.5500000e+04
