# Name:    V55N-HN
# y_ppm:  109.16541    0.00002
# yw_hz:   16.69343    0.03694
# y_eta:    0.00000    0.00000
# x_ppm:    7.19078    0.00002
# xw_hz:   23.10288    0.05105
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0   -2.247757e+07    7.550000e+04
      -400.0   -1.454859e+07    7.550000e+04
      -350.0   -1.448707e+07    7.550000e+04
      -300.0   -1.392336e+07    7.550000e+04
      -250.0   -1.255689e+07    7.550000e+04
      -200.0   -6.271514e+06    7.550000e+04
      -150.0   -3.672790e+05    7.550000e+04
      -100.0   -6.916992e+06    7.550000e+04
       -50.0   -7.832073e+06    7.550000e+04
         0.0   -1.230772e+07    7.550000e+04
        50.0   -1.380530e+07    7.550000e+04
       100.0   -1.419607e+07    7.550000e+04
       150.0   -1.459310e+07    7.550000e+04
       200.0   -1.461284e+07    7.550000e+04
       250.0   -1.469446e+07    7.550000e+04
       300.0   -1.462265e+07    7.550000e+04
       350.0   -1.464465e+07    7.550000e+04
       400.0   -1.458785e+07    7.550000e+04
