#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -1.250e+02    4.6515770e-01  3.0000000e-03
  -1.230e+02    4.6251070e-01  3.0000000e-03
  -1.210e+02    4.6399880e-01  3.0000000e-03
  -1.190e+02    4.6565480e-01  3.0000000e-03
  -1.170e+02    4.6066640e-01  3.0000000e-03
  -1.150e+02    4.6401410e-01  3.0000000e-03
  -1.130e+02    4.6123140e-01  3.0000000e-03
  -1.110e+02    4.5989530e-01  3.0000000e-03
  -1.090e+02    4.6240890e-01  3.0000000e-03
  -1.070e+02    4.5823120e-01  3.0000000e-03
  -1.050e+02    4.5524410e-01  3.0000000e-03
  -1.030e+02    4.5754340e-01  3.0000000e-03
  -1.010e+02    4.5822550e-01  3.0000000e-03
  -9.900e+01    4.6065310e-01  3.0000000e-03
  -9.700e+01    4.5942520e-01  3.0000000e-03
  -9.500e+01    4.6251000e-01  3.0000000e-03
  -9.300e+01    4.6286950e-01  3.0000000e-03
  -9.100e+01    4.6353700e-01  3.0000000e-03
  -8.900e+01    4.6338050e-01  3.0000000e-03
  -8.700e+01    4.6019150e-01  3.0000000e-03
  -8.500e+01    4.6437610e-01  3.0000000e-03
  -8.300e+01    4.6268680e-01  3.0000000e-03
  -8.100e+01    4.6271070e-01  3.0000000e-03
  -7.900e+01    4.6165400e-01  3.0000000e-03
  -7.700e+01    4.5604530e-01  3.0000000e-03
  -7.500e+01    4.5834630e-01  3.0000000e-03
  -7.300e+01    4.5565830e-01  3.0000000e-03
  -7.100e+01    4.5619450e-01  3.0000000e-03
  -6.900e+01    4.5132100e-01  3.0000000e-03
  -6.700e+01    4.4833810e-01  3.0000000e-03
  -6.500e+01    4.4344300e-01  3.0000000e-03
  -6.300e+01    4.3751300e-01  3.0000000e-03
  -6.100e+01    4.3138430e-01  3.0000000e-03
  -5.900e+01    4.1344740e-01  3.0000000e-03
  -5.700e+01    3.9460060e-01  3.0000000e-03
  -5.500e+01    3.4588550e-01  3.0000000e-03
  -5.300e+01    2.6604610e-01  3.0000000e-03
  -5.100e+01    2.1546410e-01  3.0000000e-03
  -4.900e+01    1.3963950e-01  3.0000000e-03
  -4.700e+01    1.5844550e-01  3.0000000e-03
  -4.500e+01    2.6900700e-01  3.0000000e-03
  -4.300e+01    3.4621250e-01  3.0000000e-03
  -4.100e+01    3.9184320e-01  3.0000000e-03
  -3.900e+01    4.1300610e-01  3.0000000e-03
  -3.700e+01    4.2877560e-01  3.0000000e-03
  -3.500e+01    4.3709500e-01  3.0000000e-03
  -3.300e+01    4.3787990e-01  3.0000000e-03
  -3.100e+01    4.4598130e-01  3.0000000e-03
  -2.900e+01    4.4803860e-01  3.0000000e-03
  -2.700e+01    4.5291610e-01  3.0000000e-03
  -2.500e+01    4.5477090e-01  3.0000000e-03
  -2.300e+01    4.5627640e-01  3.0000000e-03
  -2.100e+01    4.5845180e-01  3.0000000e-03
  -1.900e+01    4.5888900e-01  3.0000000e-03
  -1.700e+01    4.6103510e-01  3.0000000e-03
  -1.500e+01    4.5332690e-01  3.0000000e-03
  -1.300e+01    4.5777310e-01  3.0000000e-03
  -1.100e+01    4.6222910e-01  3.0000000e-03
  -9.000e+00    4.5346500e-01  3.0000000e-03
  -7.000e+00    4.6125420e-01  3.0000000e-03
  -5.000e+00    4.5887230e-01  3.0000000e-03
  -3.000e+00    4.5967190e-01  3.0000000e-03
  -1.000e+00    4.6066170e-01  3.0000000e-03
   1.000e+00    4.6362050e-01  3.0000000e-03
   3.000e+00    4.6255560e-01  3.0000000e-03
   5.000e+00    4.6106700e-01  3.0000000e-03
   7.000e+00    4.6371610e-01  3.0000000e-03
   9.000e+00    4.5846410e-01  3.0000000e-03
   1.100e+01    4.6623080e-01  3.0000000e-03
   1.300e+01    4.6126180e-01  3.0000000e-03
   1.500e+01    4.5956400e-01  3.0000000e-03
   1.700e+01    4.6128370e-01  3.0000000e-03
   1.900e+01    4.6705530e-01  3.0000000e-03
   2.100e+01    4.6402890e-01  3.0000000e-03
   2.300e+01    4.6443470e-01  3.0000000e-03
   2.500e+01    4.6165970e-01  3.0000000e-03
   2.700e+01    4.5738880e-01  3.0000000e-03
   2.900e+01    4.6313950e-01  3.0000000e-03
   3.100e+01    4.6189760e-01  3.0000000e-03
   3.300e+01    4.6152620e-01  3.0000000e-03
   3.500e+01    4.6238790e-01  3.0000000e-03
   3.700e+01    4.6456650e-01  3.0000000e-03
   3.900e+01    4.5686000e-01  3.0000000e-03
   4.100e+01    4.6295750e-01  3.0000000e-03
   4.300e+01    4.6245750e-01  3.0000000e-03
   4.500e+01    4.6131040e-01  3.0000000e-03
   4.700e+01    4.6178670e-01  3.0000000e-03
   4.900e+01    4.6234450e-01  3.0000000e-03
   5.100e+01    4.6356490e-01  3.0000000e-03
   5.300e+01    4.6010560e-01  3.0000000e-03
   5.500e+01    4.5803380e-01  3.0000000e-03
   5.700e+01    4.6054420e-01  3.0000000e-03
   5.900e+01    4.5992100e-01  3.0000000e-03
   6.100e+01    4.6304320e-01  3.0000000e-03
   6.300e+01    4.5991410e-01  3.0000000e-03
   6.500e+01    4.5633600e-01  3.0000000e-03
   6.700e+01    4.4708230e-01  3.0000000e-03
   6.900e+01    4.3838830e-01  3.0000000e-03
   7.100e+01    4.4799480e-01  3.0000000e-03
   7.300e+01    4.5753130e-01  3.0000000e-03
   7.500e+01    4.6015940e-01  3.0000000e-03
   7.700e+01    4.6172060e-01  3.0000000e-03
   7.900e+01    4.5854640e-01  3.0000000e-03
   8.100e+01    4.5992730e-01  3.0000000e-03
   8.300e+01    4.6046950e-01  3.0000000e-03
   8.500e+01    4.6391850e-01  3.0000000e-03
   8.700e+01    4.6283830e-01  3.0000000e-03
   8.900e+01    4.6248620e-01  3.0000000e-03
   9.100e+01    4.6232360e-01  3.0000000e-03
   9.300e+01    4.6123050e-01  3.0000000e-03
   9.500e+01    4.6165940e-01  3.0000000e-03
   9.700e+01    4.6214020e-01  3.0000000e-03
   9.900e+01    4.6102020e-01  3.0000000e-03
   1.010e+02    4.6115630e-01  3.0000000e-03
   1.030e+02    4.6310810e-01  3.0000000e-03
   1.050e+02    4.6544210e-01  3.0000000e-03
   1.070e+02    4.5910810e-01  3.0000000e-03
   1.090e+02    4.5987420e-01  3.0000000e-03
   1.110e+02    4.6194720e-01  3.0000000e-03
   1.130e+02    4.6061130e-01  3.0000000e-03
   1.150e+02    4.6133760e-01  3.0000000e-03
   1.170e+02    4.6030070e-01  3.0000000e-03
   1.190e+02    4.6541580e-01  3.0000000e-03
   1.210e+02    4.6137640e-01  3.0000000e-03
   1.230e+02    4.6146260e-01  3.0000000e-03
   1.250e+02    4.6413440e-01  3.0000000e-03
